,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.5,0.28,0.5,0.49,0.43,0.14,0.1,0.14,0.1,0.09,0.11,0.07,0.09,0.14,0.08
d_1,0.61,0.16,0.46,0.49,0.42,0.39,0.11,0.17,0.08,0.08,0.09,0.09,0.05,0.08,0.07,0.04
f_1,0.44,0.42,0.16,0.45,0.42,0.37,0.09,0.09,0.16,0.09,0.09,0.14,0.05,0.08,0.09,0.07
c_1,0.34,0.55,0.48,0.15,0.46,0.41,0.14,0.05,0.13,0.15,0.08,0.1,0.06,0.08,0.1,0.07
b_1,0.43,0.48,0.46,0.24,0.13,0.57,0.14,0.1,0.14,0.13,0.16,0.1,0.08,0.09,0.1,0.07
a_1,0.56,0.56,0.49,0.42,0.2,0.09,0.15,0.11,0.14,0.11,0.14,0.1,0.07,0.18,0.1,0.08
h_1,0.38,0.39,0.44,0.39,0.41,0.36,0.06,0.08,0.12,0.09,0.08,0.08,0.08,0.07,0.07,0.05
d_0,0.25,0.54,0.38,0.42,0.44,0.44,0.15,0.06,0.14,0.09,0.08,0.08,0.07,0.08,0.07,0.07
g_1,0.44,0.37,0.44,0.43,0.41,0.34,0.1,0.09,0.05,0.08,0.08,0.07,0.05,0.07,0.08,0.07
c_0,0.41,0.24,0.45,0.7,0.42,0.36,0.13,0.14,0.12,0.05,0.09,0.08,0.06,0.08,0.07,0.05
b_0,0.38,0.31,0.39,0.58,0.63,0.39,0.11,0.08,0.12,0.05,0.05,0.08,0.06,0.08,0.07,0.05
f_0,0.4,0.35,0.65,0.42,0.39,0.38,0.12,0.11,0.06,0.08,0.07,0.04,0.05,0.08,0.08,0.04
h_0,0.4,0.36,0.39,0.42,0.4,0.31,0.17,0.08,0.13,0.07,0.08,0.09,0.07,0.06,0.06,0.05
a_0,0.35,0.38,0.38,0.41,0.62,0.53,0.11,0.08,0.13,0.07,0.04,0.08,0.06,0.04,0.07,0.06
e_0,0.43,0.36,0.59,0.41,0.45,0.37,0.14,0.09,0.1,0.08,0.08,0.04,0.06,0.07,0.03,0.05
g_0,0.4,0.35,0.42,0.4,0.4,0.36,0.1,0.09,0.13,0.1,0.08,0.08,0.04,0.09,0.06,0.08
