,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.67,6.33,5.44,5.61,5.63,5.09,2.2,2.6,2.12,1.61,,2.26,1.5,1.82,2.52,1.49
e_1,4.4,0.67,6.18,5.73,5.33,5.54,2.38,2.31,2.4,2.03,2.19,2.12,1.82,,1.66,1.71
c_1,6.57,5.22,0.66,5.49,5.96,5.0,2.52,3.16,1.37,,1.87,1.78,1.94,2.43,1.85,2.0
d_1,6.33,6.29,7.14,0.65,6.72,,2.72,1.86,,2.66,1.66,2.08,1.66,2.06,1.53,1.15
b_1,5.92,6.96,3.99,5.51,0.63,7.66,3.14,2.6,2.42,3.26,2.47,,1.64,1.84,2.67,1.55
a_1,6.76,6.24,8.84,,4.08,0.57,3.05,3.17,2.68,,3.0,2.9,2.27,,,
h_1,4.47,5.4,4.84,4.82,4.19,4.59,0.61,2.41,1.53,2.09,2.29,1.77,,1.81,1.76,1.55
g_1,4.92,8.11,4.63,6.41,5.87,5.66,1.79,0.58,2.47,1.86,3.38,2.0,0.95,1.78,1.97,
d_0,3.89,3.48,6.08,,4.18,4.47,2.2,1.87,0.73,1.78,1.54,1.73,1.46,1.36,2.02,1.44
c_0,5.5,5.29,,2.76,4.59,,2.15,2.52,1.85,0.69,1.74,2.2,1.5,1.31,1.93,1.47
f_0,,4.64,5.66,6.4,4.98,4.03,1.93,1.17,2.0,1.72,0.68,1.96,1.63,2.33,,1.12
b_0,5.27,5.15,8.18,5.4,,4.49,2.76,1.86,1.88,1.08,2.09,0.67,2.1,,2.26,1.36
h_0,5.06,4.57,3.58,3.82,5.06,4.62,,3.28,1.55,1.52,1.4,1.09,,2.56,1.43,1.45
e_0,7.6,,5.08,7.23,6.56,,2.39,2.9,2.86,2.36,1.16,,1.38,0.62,2.02,1.5
a_0,6.77,6.94,7.24,7.61,6.29,,3.14,3.11,1.5,2.65,,1.21,1.35,1.66,0.62,1.97
g_0,6.32,5.27,3.99,6.2,6.69,,1.91,,1.92,1.69,1.85,2.17,1.1,1.44,1.26,
