,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,99.17,50.27,70.32,105.58,117.24,389.51,9252.45,13827.58,29259.32,22434.98,25558.07,52511.67,77957.27,97719.37,78756.72,211431.47
f_1,73.84,108.9,67.17,78.41,98.32,336.68,7253.62,11441.18,16737.08,19743.22,23698.95,30564.66,54529.58,67820.81,88242.73,201683.36
d_1,41.29,52.94,135.18,62.18,102.57,336.99,8381.21,11548.46,13295.64,31084.65,26497.65,49661.52,60261.02,76037.98,115992.98,206077.72
c_1,38.59,46.17,67.91,149.21,171.59,299.51,7545.65,10957.7,12457.0,10475.76,15824.85,39086.91,54825.97,66930.72,97744.19,176853.57
b_1,37.28,48.45,55.47,50.47,203.48,473.51,6297.37,11304.85,13020.39,12525.24,12130.21,41853.46,36010.1,75216.75,86402.7,183758.55
a_1,24.94,31.66,36.43,43.26,53.83,536.85,4957.81,8134.94,8452.91,11637.66,14146.3,24818.32,34305.75,51248.95,72583.01,129847.47
h_1,11.15,18.08,18.24,20.86,28.16,78.14,3383.9,4354.87,3913.39,4835.46,5948.22,13139.58,15423.35,16471.97,28782.06,74279.71
g_1,10.3,10.54,20.77,19.29,24.11,66.06,1725.25,4922.92,4175.72,4305.25,4952.08,15262.34,14200.33,20173.07,25945.22,34925.71
d_0,8.91,10.8,11.87,28.02,24.87,75.28,1821.94,2715.99,5050.54,3377.59,4657.17,9930.35,13141.75,17534.31,27441.94,44582.35
c_0,10.13,10.63,12.35,15.5,21.96,68.1,1772.86,2736.15,4156.08,5936.4,8301.09,12040.63,15937.01,20233.2,25072.42,45805.8
b_0,9.23,10.65,12.73,17.78,17.31,54.12,1603.07,2504.63,3580.3,3347.72,6803.59,10229.26,21996.19,17897.61,23239.02,41607.98
f_0,6.38,6.47,10.67,12.62,14.59,72.98,1213.02,1772.08,3257.17,3386.23,3344.62,11719.49,10768.04,15342.7,33576.91,32085.37
a_0,6.56,8.61,10.26,10.7,19.49,34.55,1293.2,1606.1,2478.61,2698.16,2988.47,7544.12,13141.01,12795.59,20215.6,34282.38
h_0,5.85,9.91,10.04,11.63,13.98,45.89,911.51,1740.18,2166.36,2384.06,3062.88,5852.36,7191.5,8991.85,17728.81,36586.87
e_0,4.94,7.64,8.16,9.74,12.61,41.04,1170.02,1468.0,1860.12,2142.88,2761.3,4940.57,6647.61,9309.27,21511.67,27392.91
g_0,3.93,5.35,10.1,8.13,9.45,30.46,719.03,1227.38,1478.4,2086.28,2191.91,6911.55,5250.55,7297.81,12353.22,17829.07
