,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,102.39,43.68,52.43,52.94,63.54,177.56,5020.75,9316.14,19397.32,12029.43,14145.89,19881.4,51488.09,54789.11,33690.21,118894.54
f_1,44.64,129.49,50.4,42.28,59.69,113.01,3739.77,8405.97,11807.35,12545.25,14669.77,7064.07,35121.01,54605.13,48936.69,74021.71
c_1,25.22,35.89,140.87,46.65,92.46,125.8,5216.45,8641.74,9558.01,9534.54,4909.07,24730.13,44121.3,56191.7,56776.72,96584.13
d_1,24.92,36.64,36.09,148.31,64.87,130.71,5170.02,8428.34,7047.81,13640.75,21910.42,20588.18,32208.33,45292.98,69138.54,61570.21
b_1,25.58,36.98,33.93,36.15,190.57,201.56,4438.52,6444.15,8374.73,4623.35,13739.65,14954.5,35015.34,56856.39,51275.44,104058.09
a_1,18.93,30.48,29.56,30.96,32.66,367.23,4431.83,6216.53,7725.61,8075.38,8168.85,14370.42,21380.15,42826.63,36694.46,60309.73
h_1,9.44,18.25,11.38,16.57,20.78,33.24,3219.34,3729.37,3419.74,3760.74,3863.73,6260.38,15502.87,11990.49,27047.24,38353.28
g_1,7.46,10.22,11.68,17.91,17.34,31.38,1143.88,5277.22,2427.59,3174.39,3384.86,8261.64,8256.37,14290.54,16972.11,15988.59
d_0,6.7,10.5,19.49,5.78,19.1,32.83,1116.99,2284.55,4917.37,3740.56,2965.3,5532.49,11846.83,17616.64,19177.84,24324.57
b_0,8.56,9.95,12.51,13.27,9.09,27.72,1318.13,2327.88,2353.61,5216.31,3638.74,6502.43,23961.23,17135.3,17503.74,26138.56
c_0,8.32,10.05,7.88,10.42,12.38,38.41,1469.11,2157.92,3079.03,5096.14,5683.51,5637.6,14398.78,18098.87,18620.91,22693.7
f_0,5.9,5.85,10.03,10.09,17.07,24.99,1089.89,1818.68,2607.45,2525.34,2649.95,8478.83,11211.19,13880.76,23546.01,18803.16
a_0,4.66,6.99,7.96,9.49,12.14,10.54,715.7,1416.46,2097.78,1642.95,2084.28,3278.74,15071.82,11937.67,9584.45,17641.86
h_0,5.07,8.69,7.49,8.47,9.46,18.28,476.49,1728.74,1491.21,1734.16,1764.02,2985.37,7551.05,4668.19,7808.06,15516.59
e_0,3.21,7.27,7.0,7.26,9.23,18.56,704.19,1278.56,1660.4,2063.39,1984.07,3494.75,8959.61,11857.85,19359.33,15341.25
g_0,4.31,4.9,5.53,10.51,6.46,18.33,551.87,788.62,1213.54,1887.5,1812.48,4153.23,6851.53,7753.12,8864.95,9387.86
