,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.67,4.15,5.78,5.05,4.27,5.81,2.46,2.12,2.96,2.12,2.76,2.16,2.55,1.84,1.35,
f_1,5.94,0.67,6.38,5.25,4.43,6.5,2.09,4.01,2.16,2.17,1.92,,1.72,1.15,2.67,1.86
d_1,6.19,5.04,0.66,7.93,5.38,5.92,3.27,2.03,,2.26,2.22,1.57,1.85,1.62,1.44,
c_1,7.04,6.47,6.13,0.65,6.65,5.31,2.39,2.43,1.33,,2.0,1.75,2.5,1.91,2.01,2.1
b_1,8.49,7.85,6.41,3.99,0.62,5.87,2.47,2.37,2.34,2.48,,3.17,2.49,1.76,1.74,1.82
a_1,8.78,6.97,6.14,9.14,5.62,0.56,,2.7,3.36,2.96,2.38,2.14,,2.39,1.77,
h_1,4.81,4.94,4.14,4.88,5.87,,0.62,2.14,1.6,2.02,1.82,1.73,1.36,,2.13,1.76
g_1,6.45,5.03,5.77,5.08,6.42,5.27,2.0,0.59,1.83,1.67,1.61,2.17,2.09,1.17,,2.13
d_0,2.92,5.46,,5.76,4.7,3.95,2.25,2.52,0.7,1.74,1.8,1.92,1.35,1.44,1.4,1.41
c_0,4.27,5.09,2.95,,6.52,3.85,2.25,2.31,2.52,0.69,2.1,2.71,1.65,1.3,1.13,1.44
b_0,4.16,4.29,5.1,6.28,,5.6,2.26,2.98,1.79,1.27,0.69,1.62,2.11,1.9,1.5,1.37
f_0,5.97,,7.02,6.07,3.82,6.65,2.6,1.39,1.55,1.47,1.92,0.67,1.83,2.99,0.86,2.04
a_0,6.92,5.87,6.33,5.77,6.19,,3.03,2.56,2.39,2.21,1.58,2.51,0.62,1.03,1.29,
h_0,4.75,5.95,4.29,3.77,4.27,3.6,,3.36,1.6,1.69,1.41,1.13,2.71,,1.24,1.09
g_0,6.4,4.52,5.93,5.17,6.69,5.98,1.46,,1.71,1.94,1.59,2.33,2.2,1.05,,1.76
e_0,,8.71,,4.93,6.25,,2.23,2.08,2.69,3.05,2.93,1.33,,2.1,1.94,0.62
