,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.25,1.11,1.0,0.88,1.08,0.95,0.9,0.87,0.97,0.95,,0.93,0.86,1.12,0.77
e_1,0.8,1.0,0.8,0.76,0.97,0.94,1.01,1.35,1.25,0.97,0.94,1.21,1.23,,1.22,0.98
c_1,0.9,1.24,1.0,1.17,1.5,1.19,1.02,0.73,1.0,,0.98,0.93,1.07,0.75,0.82,1.08
d_1,1.0,1.32,0.85,1.0,0.84,0.83,1.03,,0.84,1.36,1.22,0.79,1.11,1.1,0.97,0.79
b_1,1.14,1.04,0.67,1.2,1.0,1.6,0.82,1.14,0.96,1.02,,1.04,0.98,1.0,0.78,0.98
a_1,0.93,1.07,0.84,1.21,0.62,1.0,1.07,1.16,1.0,,0.97,1.21,1.28,0.97,,
h_1,1.05,0.99,0.99,0.97,1.22,0.93,1.0,0.93,1.1,1.18,0.9,0.93,,0.87,0.85,1.06
d_0,1.11,0.74,1.38,,0.88,0.86,1.07,1.0,1.0,1.16,0.89,0.79,1.05,1.19,0.95,1.08
g_1,1.15,0.8,1.0,1.19,1.04,1.0,0.91,1.0,1.0,1.04,1.0,1.06,0.87,0.94,0.97,
c_0,1.03,1.03,,0.74,0.98,,0.85,0.86,0.96,1.0,1.47,1.31,0.93,0.9,0.97,1.02
b_0,1.06,1.07,1.02,0.82,,1.03,1.11,1.12,1.0,0.68,1.0,0.96,0.94,1.08,1.6,1.15
f_0,,0.82,1.08,1.27,0.96,0.83,1.08,1.27,0.94,0.76,1.04,1.0,0.88,1.54,,0.75
h_0,1.08,0.81,0.94,0.9,1.02,0.78,,0.95,1.15,1.07,1.06,1.13,,1.15,,1.46
e_0,1.17,,1.33,0.91,1.0,1.03,1.15,0.84,1.06,1.11,0.93,0.65,0.87,1.0,,0.87
a_0,0.89,0.82,1.22,1.04,1.28,,1.18,1.05,1.03,1.03,0.63,,,,1.0,
g_0,1.29,1.02,0.93,1.26,1.02,,0.94,0.93,,0.98,0.87,1.33,0.68,1.15,,
