,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.37,0.86,0.99,0.89,0.61,0.5,0.33,0.63,,0.43,0.33,0.38,0.29,0.23,0.2
e_1,0.73,1.0,0.72,0.98,0.8,0.77,0.58,0.51,0.41,0.57,0.47,0.35,0.38,0.33,0.31,
f_1,1.16,1.39,1.0,1.05,0.71,0.69,0.52,0.3,0.45,0.43,0.41,,0.32,0.25,0.31,0.36
c_1,1.01,1.02,0.95,1.0,1.21,0.71,0.61,0.52,,0.34,0.27,0.37,0.45,0.36,0.35,0.45
b_1,1.12,1.25,1.4,0.82,1.0,1.08,0.48,0.43,0.51,0.53,,0.44,0.38,0.39,,0.31
a_1,1.63,1.3,1.45,1.41,0.92,1.0,0.61,0.45,0.72,0.55,0.67,0.54,0.56,0.4,,
h_1,2.0,1.71,1.94,1.63,2.07,1.64,1.0,1.32,0.95,0.73,0.96,0.76,,0.76,0.58,0.53
g_1,3.02,1.95,3.31,1.93,2.32,2.24,0.76,1.0,0.89,1.03,1.03,1.14,0.48,,,
c_0,1.59,2.45,2.24,,1.97,1.39,1.05,1.13,1.0,1.09,1.42,0.71,0.85,0.72,0.89,0.86
d_0,,1.74,2.35,2.92,1.87,1.81,1.37,0.97,0.92,1.0,0.78,0.91,0.84,0.82,0.98,0.65
b_0,2.33,2.13,2.45,3.7,,1.49,1.04,0.97,0.7,1.28,1.0,0.96,0.81,0.92,1.29,
f_0,3.03,2.86,,2.74,2.25,1.85,1.32,0.88,1.4,1.1,1.04,1.0,1.2,0.56,0.87,0.97
h_0,2.61,2.66,3.09,2.22,2.61,1.8,,2.1,1.18,1.19,1.24,0.84,,1.15,,0.99
g_0,3.4,3.0,3.97,2.75,2.55,2.52,1.31,,1.38,1.23,1.09,1.8,0.87,,,1.18
a_0,4.4,3.25,3.19,2.87,,,1.73,,1.13,1.02,0.77,1.15,,,1.0,
e_0,4.92,,2.81,2.2,3.24,,1.88,,1.16,1.54,,1.03,1.01,0.85,,1.0
