,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.94,1.03,1.46,1.61,3.41,18.22,35.55,26.12,27.93,33.55,59.02,86.56,80.62,109.47,108.44
f_1,1.07,1.0,0.96,1.12,1.36,2.58,14.08,24.69,21.92,25.6,30.79,44.29,63.56,66.74,100.34,94.0
d_1,0.97,1.04,1.0,1.14,1.28,2.83,15.12,20.61,29.04,20.0,34.61,48.02,69.92,74.11,75.36,96.81
c_1,0.67,0.89,0.92,1.0,1.56,2.47,13.9,15.71,18.82,19.98,24.8,40.37,67.14,60.22,85.83,100.63
b_1,0.62,0.73,0.78,0.65,1.0,2.93,12.51,14.99,17.31,18.54,22.8,35.02,51.83,52.94,65.91,80.26
a_1,0.29,0.39,0.34,0.4,0.36,1.0,7.08,8.55,8.11,9.4,13.03,17.08,27.1,29.1,35.64,38.53
h_1,0.05,0.07,0.06,0.07,0.08,0.14,1.0,1.44,1.37,1.68,1.84,2.7,4.24,4.38,6.45,5.99
d_0,0.03,0.04,0.05,0.06,0.07,0.11,0.71,1.0,0.84,1.08,1.3,2.04,3.25,2.96,4.31,5.2
c_0,0.04,0.04,0.04,0.05,0.06,0.12,0.73,1.18,1.0,1.1,1.75,2.18,2.98,3.93,3.85,4.64
g_1,0.04,0.04,0.05,0.05,0.06,0.11,0.59,0.91,0.92,1.0,1.22,2.41,2.35,2.81,3.81,4.42
b_0,0.03,0.03,0.03,0.04,0.04,0.08,0.51,0.73,0.56,0.79,1.0,1.55,2.54,3.28,2.86,3.46
f_0,0.02,0.02,0.02,0.02,0.03,0.06,0.38,0.47,0.47,0.42,0.64,1.0,1.42,1.71,1.71,3.03
h_0,0.01,0.02,0.01,0.01,0.02,0.03,0.24,0.32,0.32,0.43,0.4,0.68,1.0,0.95,1.42,1.41
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.22,0.31,0.26,0.34,0.32,0.59,0.99,1.0,1.27,1.33
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.24,0.26,0.26,0.34,0.61,0.73,0.78,1.0,1.1
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.18,0.22,0.23,0.31,0.34,0.7,0.7,0.94,1.0
