,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.1,1.06,0.9,1.0,0.91,0.95,0.81,1.28,1.07,1.13,0.97,1.05,0.91,0.98,0.89
e_1,0.89,1.0,0.79,1.19,1.0,0.97,1.19,1.14,0.99,1.38,1.08,1.13,1.02,1.08,1.09,1.13
f_1,0.94,1.27,1.0,1.03,0.92,0.89,0.89,0.94,0.85,0.96,0.93,0.94,0.8,0.95,0.92,0.81
c_1,1.13,0.84,0.97,1.0,1.35,0.95,1.06,1.08,0.82,0.69,0.73,0.85,1.01,1.04,0.9,1.08
b_1,1.01,0.99,1.1,0.75,1.0,1.49,0.96,1.02,1.07,1.04,1.0,1.09,1.08,1.08,0.77,1.04
a_1,1.11,1.02,1.08,1.06,0.68,1.0,1.09,1.08,1.09,1.08,1.28,1.17,1.17,0.91,1.23,0.99
h_1,1.03,0.83,1.13,0.94,1.07,0.96,1.0,1.23,0.99,0.89,0.95,0.98,1.01,1.17,1.09,1.01
g_1,1.25,0.89,1.04,0.89,1.02,0.89,0.81,1.0,0.97,0.83,0.95,1.07,0.86,1.01,1.04,1.06
c_0,0.81,0.97,1.15,1.21,0.94,0.88,1.02,1.04,1.0,1.18,1.35,1.0,1.11,1.02,1.25,1.08
d_0,0.96,0.72,1.05,1.4,0.99,0.91,1.08,1.25,0.77,1.0,0.9,1.02,1.04,1.08,1.06,1.16
b_0,0.92,0.9,1.11,1.39,0.99,0.7,1.04,1.01,0.74,1.07,1.0,0.91,1.07,1.01,1.69,1.03
f_0,1.04,0.87,1.02,1.14,0.99,0.89,1.01,0.94,1.03,1.02,1.05,1.0,1.15,0.83,1.03,1.38
h_0,0.99,0.98,1.22,0.98,0.9,0.88,0.97,1.19,0.9,0.96,0.91,0.85,1.0,1.2,0.84,0.94
g_0,1.11,0.9,1.02,1.0,0.97,1.12,0.86,0.99,0.98,0.96,0.95,1.26,0.81,1.0,0.99,1.03
a_0,1.0,0.89,1.07,1.18,1.29,0.89,0.94,0.98,0.81,0.94,0.67,0.94,1.23,1.04,1.0,1.01
e_0,1.04,0.91,1.19,0.96,0.98,0.95,1.01,0.95,0.92,0.89,1.0,0.76,1.1,0.95,1.09,1.0
