,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,0.92,1.17,0.96,0.8,0.69,0.85,0.61,0.7,0.64,0.74,0.63,0.55,0.56,0.56
f_1,1.23,1.0,0.9,1.02,0.85,0.73,0.62,0.67,0.6,0.69,0.65,0.59,0.51,0.55,0.45,0.63
d_1,1.06,1.11,1.0,0.84,0.94,0.89,0.7,0.64,0.84,0.55,0.69,0.62,0.6,0.59,0.56,0.47
c_1,0.87,0.99,1.22,1.0,1.32,0.94,0.74,0.53,0.65,0.69,0.56,0.6,0.59,0.51,0.59,0.59
b_1,1.06,1.18,1.07,0.77,1.0,1.31,0.77,0.7,0.77,0.85,0.72,0.74,0.62,0.57,0.64,0.59
a_1,1.22,1.37,1.09,1.09,0.77,1.0,0.96,0.83,0.74,0.69,0.81,0.68,0.76,0.76,0.71,0.75
h_1,1.45,1.54,1.43,1.4,1.22,0.98,1.0,0.92,0.92,1.05,0.92,0.88,0.83,0.84,0.73,0.89
d_0,1.22,1.43,1.49,1.84,1.52,1.22,1.07,1.0,0.85,1.06,0.92,0.97,0.96,0.86,0.9,0.99
c_0,1.69,1.71,1.21,1.54,1.29,1.31,1.12,1.08,1.0,0.99,1.21,0.94,0.87,1.02,0.89,0.87
g_1,1.39,1.47,1.8,1.42,1.25,1.43,0.98,0.94,0.99,1.0,0.98,1.1,0.78,0.77,0.98,0.83
b_0,1.52,1.58,1.43,1.69,1.39,1.22,1.15,1.04,0.83,1.05,1.0,0.94,0.94,1.25,0.84,0.87
f_0,1.38,1.7,1.58,1.68,1.36,1.41,1.1,1.03,1.03,0.9,1.04,1.0,0.94,0.88,1.17,0.7
h_0,1.61,1.95,1.66,1.67,1.63,1.39,1.28,1.03,1.14,1.29,1.07,1.03,1.0,0.94,0.97,1.05
a_0,1.73,1.78,1.73,1.87,1.73,1.21,1.2,1.12,0.97,1.29,0.82,1.13,1.14,1.0,0.9,0.93
e_0,1.84,2.2,1.77,1.61,1.47,1.44,1.46,1.15,1.17,1.04,1.27,0.88,1.04,1.07,1.0,0.9
g_0,1.77,1.63,2.06,1.67,1.66,1.32,1.15,1.06,1.15,1.14,1.17,1.35,0.92,1.07,1.14,1.0
