,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.44,1.44,1.79,1.36,1.37,1.54,2.7,2.68,5.0,3.16,3.19,3.35,3.34,4.06,2.7,4.08
f_1,2.19,2.55,1.52,1.46,1.32,1.29,2.15,2.77,3.16,3.13,3.06,2.06,2.92,3.69,2.6,3.94
c_1,1.24,1.43,2.58,1.47,2.35,1.45,3.03,2.85,2.73,2.51,1.98,3.54,3.26,3.86,3.31,4.13
d_1,1.38,1.54,1.39,2.63,1.49,1.5,3.14,2.81,2.86,3.73,4.82,3.37,3.35,3.78,3.64,3.39
b_1,1.48,1.53,1.28,1.43,2.75,2.51,2.88,2.76,2.79,2.33,3.25,2.95,2.51,4.27,3.11,4.26
a_1,1.45,1.65,1.53,1.64,1.23,3.11,3.64,3.42,3.13,3.69,3.12,3.11,3.1,4.56,3.83,3.9
h_1,1.49,2.25,1.47,1.57,1.58,1.22,4.21,3.54,3.04,3.13,3.33,3.05,3.46,3.78,3.78,5.28
g_1,1.41,1.49,1.56,2.13,1.41,1.27,2.85,4.59,2.81,3.35,3.39,4.59,3.29,3.76,4.23,3.48
d_0,1.27,1.64,2.45,1.27,1.69,1.48,2.86,2.81,4.21,3.47,2.62,3.33,3.6,4.44,3.75,3.98
b_0,1.49,1.63,1.83,1.68,1.31,1.28,3.18,2.94,3.23,4.45,3.39,3.77,6.44,4.55,3.88,4.4
c_0,1.69,1.74,1.53,1.45,1.3,1.59,3.15,2.83,3.8,5.34,4.46,3.58,4.36,4.75,3.94,4.43
f_0,1.28,1.52,1.58,1.63,1.79,1.48,3.15,2.83,3.24,3.46,3.46,4.76,4.14,4.53,6.34,3.76
a_0,1.46,1.85,1.5,1.7,1.88,1.09,2.87,2.89,3.57,2.89,3.21,3.24,5.05,4.88,3.48,4.85
h_0,1.52,1.97,1.54,1.69,1.46,1.37,2.46,3.72,2.98,3.08,3.12,3.15,3.35,3.54,3.08,4.97
e_0,1.29,2.0,1.7,1.6,1.5,1.24,2.8,2.67,3.32,3.77,3.39,3.02,4.64,5.04,5.33,4.81
g_0,1.51,1.32,1.54,2.19,1.46,1.38,2.62,2.35,3.31,3.7,3.41,4.5,3.86,3.77,3.53,3.84
