,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.41,1.45,1.38,1.17,1.23,1.3,0.68,1.71,0.66,0.47,0.63,0.52,0.48,0.55,0.55,0.31
f_1,1.11,0.41,1.36,1.55,1.37,0.97,0.53,0.6,0.66,0.7,0.59,1.35,0.44,0.5,0.48,0.54
e_1,1.36,0.83,0.4,1.33,1.36,1.3,0.79,0.73,0.56,0.97,0.71,0.64,0.55,0.6,0.98,0.59
c_1,1.55,1.19,1.31,0.39,1.46,1.17,0.67,0.36,0.89,0.73,0.48,0.54,0.52,0.6,0.62,0.58
b_1,1.47,1.35,1.27,0.8,0.36,2.14,0.74,0.65,0.58,0.63,1.17,0.57,0.5,0.68,0.58,0.47
a_1,1.28,1.44,1.47,1.96,0.73,0.31,0.61,0.48,0.56,0.69,0.67,0.86,0.46,1.17,0.66,0.55
h_1,0.89,1.02,1.04,0.97,0.86,1.06,0.26,0.48,0.39,0.61,0.38,0.43,0.62,0.38,0.46,0.46
d_0,1.38,0.98,0.53,1.16,0.87,1.2,0.58,0.28,0.44,0.57,0.53,0.47,0.4,0.5,0.45,0.45
c_0,0.61,0.91,1.04,2.0,1.21,0.93,0.58,0.49,0.27,0.57,0.46,0.38,0.38,0.45,0.36,0.48
g_1,1.17,1.06,0.87,0.91,1.0,0.96,0.45,0.49,0.43,0.23,0.41,0.42,0.26,0.36,0.38,0.6
b_0,0.76,1.01,0.96,1.31,1.79,0.84,0.55,0.36,0.28,0.52,0.25,0.41,0.33,0.45,0.57,0.35
f_0,0.92,2.12,0.93,0.93,0.93,0.84,0.55,0.53,0.38,0.38,0.4,0.25,0.39,0.49,0.47,0.26
h_0,1.04,0.93,0.8,0.93,1.11,0.89,0.83,0.42,0.42,0.54,0.42,0.4,0.61,0.46,0.35,0.43
a_0,0.87,1.19,0.95,0.89,1.26,1.34,0.54,0.35,0.37,0.76,0.27,0.37,0.31,0.21,0.38,0.33
e_0,0.9,1.5,2.25,0.94,0.85,0.97,0.45,0.46,0.47,0.54,0.37,0.21,0.38,0.41,0.21,0.32
g_0,1.08,1.08,0.87,0.79,1.21,0.8,0.47,0.41,0.39,0.67,0.42,0.48,0.27,0.45,0.42,0.46
