,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.04,0.68,1.31,0.73,0.66,0.51,0.96,0.98,0.9,0.83,1.0,0.56,0.95,0.86,0.6,0.79
d_1,0.87,2.21,0.72,0.56,0.73,0.71,0.98,0.61,1.04,1.77,1.05,0.95,1.01,1.14,1.09,1.01
e_1,0.81,0.69,2.12,0.99,0.64,0.66,0.88,1.63,0.88,0.92,1.09,1.12,0.99,0.95,0.81,0.96
c_1,0.74,0.77,0.64,2.31,1.28,0.78,0.81,0.86,0.83,0.5,0.78,0.87,0.97,0.94,0.85,1.04
b_1,0.67,0.86,0.69,0.67,2.52,1.47,0.95,0.8,0.87,0.86,0.52,1.0,0.97,0.63,0.9,1.06
a_1,0.86,0.83,0.72,0.65,0.87,3.26,1.0,0.93,1.0,0.94,0.92,1.02,1.0,0.69,1.1,0.83
h_1,1.08,0.84,0.83,0.96,0.67,0.75,2.11,0.94,1.44,0.89,1.08,1.08,0.74,0.97,1.06,1.47
d_0,0.81,0.64,0.69,1.61,0.83,0.78,1.0,1.54,0.89,0.64,1.17,1.17,1.08,1.09,1.14,1.03
g_1,0.72,1.31,0.68,0.95,0.69,0.73,1.1,0.83,2.45,0.97,1.09,1.56,1.05,1.26,1.23,0.91
c_0,0.85,0.81,0.93,0.75,0.58,0.85,1.13,1.2,1.0,1.8,2.23,1.3,1.16,1.39,1.32,1.28
b_0,0.86,0.95,0.8,1.01,0.51,0.64,1.18,1.03,1.11,1.06,1.91,1.11,1.31,2.36,1.43,1.21
f_0,0.68,0.87,0.6,0.94,0.93,0.89,1.1,1.03,1.15,1.15,1.11,2.03,1.09,1.2,2.44,1.12
h_0,1.19,0.86,0.86,0.87,0.72,0.61,0.8,0.99,1.45,0.98,1.06,0.98,0.87,1.07,1.21,1.42
a_0,0.79,0.96,0.77,0.93,0.75,0.57,1.3,1.12,0.94,1.21,1.15,1.3,1.3,2.35,1.17,1.3
e_0,0.99,0.81,0.48,1.04,0.88,0.82,1.23,1.04,1.16,1.05,1.16,1.04,1.48,1.43,2.64,1.1
g_0,0.77,1.16,0.64,0.84,0.74,0.87,1.02,0.97,0.75,1.06,1.07,1.72,0.96,1.18,1.5,0.76
