,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.04,1.63,1.49,1.61,1.5,1.2,0.47,0.42,0.62,0.47,0.42,0.46,0.29,0.36,0.38,0.36
e_1,1.1,1.04,1.56,1.9,1.57,1.28,0.57,0.48,0.59,0.53,0.46,0.54,0.36,0.43,0.5,0.36
d_1,1.87,1.69,1.04,1.44,1.39,1.35,0.58,0.53,0.41,0.55,0.49,0.42,0.35,0.42,0.41,0.26
c_1,1.68,1.43,2.09,1.05,2.0,1.36,0.65,0.53,0.63,0.33,0.45,0.47,0.38,0.41,0.42,0.36
b_1,1.9,1.75,1.94,1.09,1.05,2.02,0.75,0.64,0.6,0.51,0.59,0.49,0.43,0.41,0.43,0.43
a_1,2.63,2.35,2.13,2.29,1.33,1.06,0.96,0.78,0.89,0.87,0.94,0.7,0.61,0.82,0.62,0.54
h_1,4.5,4.1,4.39,4.38,3.74,3.04,1.24,1.29,1.58,1.23,1.17,1.12,1.13,1.09,1.08,0.97
c_0,5.93,5.46,3.64,6.81,4.89,3.97,1.95,1.32,1.71,1.94,1.67,1.37,1.2,1.53,1.25,1.02
g_1,5.19,5.05,5.38,4.9,4.9,4.37,1.63,1.45,1.26,1.52,1.46,1.53,1.01,1.32,1.15,1.11
d_0,4.64,3.68,5.8,6.82,5.46,3.85,2.28,1.57,2.16,1.39,1.53,1.55,1.29,1.38,1.4,1.29
b_0,6.27,5.77,4.73,7.18,6.43,4.38,2.18,1.2,1.99,1.73,1.34,1.5,1.43,1.63,1.41,1.09
f_0,7.3,5.94,5.76,5.88,6.3,4.85,2.52,1.96,1.62,2.12,1.84,1.38,1.51,1.82,1.71,0.98
h_0,7.19,6.78,6.72,6.73,6.57,5.34,2.81,1.99,2.59,1.97,1.91,1.78,1.82,1.59,1.63,1.51
a_0,8.82,7.01,6.49,7.54,8.39,7.14,2.64,2.0,2.67,2.2,1.51,1.72,1.86,1.43,1.8,1.47
e_0,9.75,8.74,7.48,7.57,7.56,6.84,3.07,2.29,2.79,2.36,2.32,1.42,1.72,1.71,1.41,1.38
g_0,8.19,7.54,8.48,7.92,7.55,6.63,2.67,2.54,3.1,2.44,2.53,2.58,1.64,2.15,2.13,1.91
