,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.95,4.46,2.6,2.7,2.71,2.41,9.97,13.23,10.33,12.38,12.75,9.21,21.21,15.09,19.7,10.22
e_1,2.85,6.14,2.45,3.44,3.07,2.79,10.1,22.1,10.1,12.87,14.13,14.81,21.03,14.65,23.06,11.07
d_1,3.14,2.88,6.54,2.46,2.58,2.62,10.24,10.0,11.58,22.8,16.24,13.76,20.93,15.86,20.6,17.18
c_1,2.66,2.47,2.82,6.78,4.86,2.98,9.44,11.29,10.28,8.75,9.32,14.52,19.96,15.28,20.03,16.06
b_1,2.94,2.51,2.62,2.89,7.51,5.96,11.49,13.31,9.79,11.98,10.83,14.31,18.68,10.74,20.12,15.94
a_1,2.89,2.84,3.03,3.08,2.46,11.43,13.19,12.71,11.4,12.05,13.49,11.89,23.24,13.84,18.98,15.02
h_1,3.58,3.09,3.55,3.14,2.96,2.49,18.49,10.05,13.95,12.7,14.74,13.3,16.87,14.0,25.73,15.79
d_0,3.01,2.58,1.89,5.31,3.7,3.26,11.91,19.66,9.08,9.14,13.13,13.93,18.51,13.64,23.67,18.27
g_1,2.94,2.77,4.5,2.5,2.71,2.91,10.63,11.5,23.67,15.93,16.25,22.07,24.88,18.43,18.25,17.16
c_0,3.36,3.26,3.28,2.76,2.3,3.13,10.9,13.12,11.48,21.1,27.73,15.43,24.5,23.23,21.7,18.53
b_0,3.3,3.07,3.72,3.09,2.48,2.19,11.95,12.63,10.96,15.0,23.28,13.84,23.42,30.86,23.88,17.6
f_0,2.57,2.23,3.54,3.34,3.48,3.16,12.21,14.0,12.08,14.99,17.55,24.05,27.19,20.29,22.28,34.2
h_0,3.87,3.03,3.55,2.85,2.86,2.89,8.94,11.63,14.87,13.16,14.62,12.66,16.6,17.25,25.63,15.5
a_0,3.1,3.0,3.61,3.53,3.07,2.42,12.42,13.25,12.69,13.29,16.27,15.34,23.01,28.4,24.68,15.23
g_0,2.72,2.48,4.21,3.5,3.33,2.94,11.83,11.25,9.34,14.39,16.29,19.91,20.4,17.41,18.8,17.91
e_0,3.22,1.95,3.21,3.33,3.67,3.43,11.69,13.84,11.59,13.93,15.82,15.81,28.3,16.61,24.82,31.68
