,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.89,0.2,0.22,0.13,0.14,0.09,0.14,0.34,0.18,0.12,0.17,0.16,0.12,0.17,0.05,0.14
f_1,0.35,0.89,0.18,0.13,0.14,0.1,0.14,0.19,0.17,0.11,0.15,0.05,0.11,0.15,0.06,0.1
c_1,0.18,0.18,0.89,0.18,0.3,0.07,0.16,0.16,0.05,0.14,0.12,0.13,0.1,0.13,0.11,0.11
d_1,0.16,0.25,0.14,0.89,0.15,0.09,0.19,0.07,0.33,0.15,0.15,0.15,0.1,0.16,0.08,0.12
b_1,0.19,0.16,0.2,0.18,0.88,0.21,0.19,0.2,0.16,0.11,0.06,0.13,0.09,0.13,0.08,0.13
a_1,0.18,0.21,0.17,0.2,0.14,0.88,0.19,0.14,0.17,0.11,0.16,0.17,0.05,0.19,0.13,0.13
h_1,0.21,0.27,0.18,0.27,0.19,0.13,0.55,0.19,0.2,0.23,0.19,0.16,0.13,0.12,0.12,0.23
d_0,0.24,0.21,0.46,0.11,0.17,0.12,0.17,0.42,0.17,0.14,0.2,0.16,0.14,0.22,0.11,0.14
c_0,0.22,0.25,0.14,0.25,0.17,0.15,0.2,0.23,0.43,0.2,0.35,0.21,0.16,0.2,0.14,0.18
g_1,0.2,0.18,0.21,0.38,0.16,0.1,0.22,0.17,0.22,0.55,0.2,0.26,0.12,0.19,0.11,0.08
b_0,0.24,0.22,0.21,0.26,0.11,0.14,0.22,0.22,0.2,0.2,0.43,0.16,0.32,0.19,0.13,0.17
f_0,0.2,0.12,0.25,0.26,0.17,0.12,0.23,0.26,0.23,0.16,0.25,0.46,0.15,0.18,0.29,0.15
a_0,0.26,0.26,0.26,0.19,0.19,0.03,0.21,0.28,0.24,0.21,0.2,0.18,0.4,0.21,0.12,0.17
h_0,0.23,0.3,0.25,0.25,0.18,0.14,0.12,0.21,0.19,0.2,0.23,0.18,0.13,0.13,0.13,0.2
e_0,0.1,0.21,0.31,0.26,0.24,0.13,0.19,0.25,0.19,0.16,0.2,0.19,0.15,0.24,0.39,0.16
g_0,0.2,0.19,0.22,0.39,0.19,0.14,0.19,0.21,0.24,0.1,0.23,0.25,0.13,0.23,0.13,0.09
