,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.45,2.32,4.29,4.44,4.98,4.2,1.43,1.44,0.88,0.81,0.96,0.95,0.68,0.77,0.9,3.08
f_1,3.81,0.44,4.16,4.59,4.03,4.26,0.93,1.17,0.85,1.02,0.83,3.07,0.39,0.69,0.96,0.83
d_1,4.8,5.4,0.42,3.99,4.46,5.6,1.18,0.81,4.39,0.82,0.92,0.8,0.7,0.33,0.84,0.96
c_1,4.04,5.02,5.85,0.42,4.21,4.25,1.4,1.15,0.58,3.36,0.73,0.87,0.69,0.75,0.73,0.76
b_1,4.65,5.79,4.53,2.83,0.4,4.21,1.25,1.9,0.84,1.55,3.94,1.01,0.69,0.68,1.19,1.03
a_1,6.78,6.06,7.84,6.02,3.3,0.33,1.86,2.03,1.27,1.17,1.31,1.14,0.81,0.83,2.82,0.89
h_1,4.26,4.91,5.1,4.77,7.14,4.39,0.37,1.38,1.19,0.86,0.79,1.07,1.79,0.76,0.97,0.94
g_1,5.7,5.55,5.55,5.64,7.05,5.01,1.45,0.32,1.17,0.87,1.07,0.95,0.68,2.47,1.22,1.08
d_0,2.92,5.11,12.15,6.43,5.72,5.68,1.75,1.95,0.45,1.11,0.99,1.34,0.81,1.02,1.13,1.33
c_0,7.4,5.1,2.72,15.06,5.18,8.02,1.96,1.82,1.57,0.42,1.78,1.13,0.99,1.24,0.84,1.04
b_0,5.91,5.57,5.35,10.69,13.82,5.74,1.53,2.27,1.43,0.64,0.4,1.17,1.06,0.8,1.02,1.35
f_0,6.67,18.8,6.05,7.08,4.95,5.28,1.39,1.08,1.09,0.96,1.66,0.4,1.11,0.63,1.45,1.03
h_0,7.37,8.15,6.41,6.28,5.81,6.86,5.35,2.15,1.31,1.84,1.32,1.17,2.88,1.14,1.08,1.42
g_0,8.72,9.42,6.87,7.55,7.15,7.58,1.61,4.91,1.62,1.15,1.23,1.11,0.89,2.34,1.3,1.42
a_0,8.36,11.06,6.61,6.84,8.51,16.71,1.79,1.89,1.65,1.3,0.78,1.17,0.97,1.31,0.36,1.47
e_0,13.96,8.26,7.17,7.8,7.75,8.46,1.81,1.8,1.58,1.86,1.3,0.66,1.12,1.2,1.84,0.34
