,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.39,0.97,0.76,0.92,0.78,0.66,0.74,0.77,0.71,0.45,,0.47,,0.47,0.62
e_1,0.72,1.0,1.04,0.91,0.9,1.08,0.68,0.79,0.54,0.67,0.63,0.66,0.68,,0.58,0.6
c_1,1.03,0.96,1.0,1.18,1.3,1.04,0.8,0.49,,0.69,0.63,0.53,0.7,0.6,0.57,0.54
d_1,1.31,1.1,0.85,1.0,0.96,0.81,0.61,,0.88,0.51,0.69,0.65,0.83,0.49,0.58,0.4
b_1,1.09,1.11,0.77,1.04,1.0,1.33,0.85,0.72,0.66,0.59,,0.64,0.66,0.62,,0.45
a_1,1.28,0.93,0.96,1.23,0.75,1.0,0.94,0.88,0.8,0.86,,0.84,0.63,,,0.65
h_1,1.52,1.47,1.25,1.63,1.18,1.06,1.0,1.02,0.68,1.47,0.87,0.91,,0.94,0.94,0.89
d_0,1.34,1.27,2.05,,1.38,1.14,0.98,1.0,1.0,0.94,1.17,0.81,0.86,0.78,0.69,0.87
c_0,1.3,1.84,,1.14,1.51,1.25,1.47,1.0,1.0,0.93,1.14,1.1,0.79,0.75,0.98,0.85
g_1,1.41,1.49,1.46,1.96,1.7,1.16,0.68,1.06,1.08,1.0,1.0,1.35,0.78,,,
b_0,2.22,1.59,1.59,1.46,,,1.15,0.86,0.87,1.0,1.0,0.98,0.9,,1.1,1.01
f_0,,1.51,1.89,1.55,1.57,1.19,1.1,1.23,0.91,0.74,1.02,1.0,1.18,1.45,,0.67
h_0,2.14,1.46,1.43,1.21,1.51,1.59,,1.16,1.27,1.27,1.11,0.84,,0.89,0.9,1.1
e_0,,,1.67,2.05,1.61,,1.07,1.29,1.33,,,0.69,1.13,1.0,,1.13
a_0,2.11,1.73,1.75,1.74,,,1.07,1.45,1.02,,0.91,,1.11,,1.0,
g_0,1.61,1.67,1.84,2.52,2.21,1.55,1.12,1.15,1.17,,0.99,1.49,0.91,0.89,,
