,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.09,2.19,2.45,2.64,2.51,2.08,0.51,0.47,0.84,0.5,0.47,0.6,0.27,0.43,0.51,0.39
e_1,1.48,1.09,2.56,3.14,2.66,2.24,0.66,0.54,0.75,0.51,0.52,0.67,0.36,0.51,0.72,0.38
d_1,3.05,2.73,1.09,2.54,2.26,2.28,0.68,0.49,0.44,0.68,0.52,0.45,0.33,0.48,0.49,0.24
c_1,2.73,2.33,3.64,1.1,2.91,2.44,0.81,0.72,0.8,0.35,0.57,0.56,0.39,0.5,0.51,0.37
b_1,3.21,2.98,3.25,1.62,1.1,3.24,0.93,0.78,0.79,0.59,0.83,0.58,0.45,0.53,0.56,0.47
a_1,4.69,4.21,3.7,4.14,2.15,1.12,1.23,1.01,1.29,1.13,1.34,0.92,0.7,1.36,0.89,0.64
h_1,8.83,8.65,9.41,9.83,8.33,7.01,1.53,1.93,2.57,1.88,1.73,1.75,1.69,1.7,1.85,1.3
c_0,13.28,12.57,7.24,18.68,12.09,10.29,3.34,1.75,2.8,3.25,2.31,2.18,1.66,2.45,2.04,1.48
g_1,12.57,12.08,10.95,11.39,11.52,11.28,2.68,2.14,1.58,2.54,2.37,2.28,1.37,2.29,1.91,1.75
d_0,10.1,7.57,14.7,15.04,12.93,10.1,4.0,2.71,4.12,1.94,2.52,2.83,1.86,2.32,2.58,2.09
b_0,14.55,13.24,10.35,18.68,17.55,12.41,3.71,1.69,3.52,2.84,1.79,2.49,2.12,2.37,2.46,1.62
f_0,19.59,15.01,13.37,14.18,15.52,12.79,4.54,3.19,2.73,3.82,3.1,1.92,2.25,3.08,2.61,1.4
h_0,16.86,16.67,16.41,17.28,17.25,15.4,5.77,3.36,4.87,3.44,3.5,3.24,3.32,2.99,2.97,2.34
a_0,23.22,17.97,16.02,19.15,22.86,23.71,4.9,3.43,5.33,3.93,2.35,3.01,3.07,2.05,3.23,2.45
e_0,26.76,26.08,18.56,19.91,20.34,20.69,5.93,3.99,5.33,4.38,4.18,2.25,2.61,3.05,2.01,2.14
g_0,22.33,20.52,20.46,21.63,21.06,19.91,4.98,4.68,6.79,4.69,4.69,4.45,2.59,4.14,4.03,3.67
