,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,8.47,17.61,16.28,12.72,13.82,4.26,2.14,2.89,1.84,2.33,3.03,1.87,2.07,,2.51
f_1,12.32,0.17,9.4,14.64,16.56,16.17,2.19,2.99,3.25,2.31,3.62,,1.12,3.96,2.72,1.76
c_1,10.87,15.28,0.16,23.96,11.15,9.45,2.99,1.5,4.43,,2.56,3.09,1.84,2.95,2.07,1.6
d_1,12.62,11.5,16.86,0.16,12.85,18.06,3.32,,2.66,2.62,1.93,3.51,1.62,1.98,2.66,1.26
b_1,13.96,11.19,6.29,12.44,0.14,13.66,3.79,2.54,4.42,3.42,,2.15,1.85,2.63,4.14,2.11
a_1,16.0,12.65,13.06,18.06,5.95,0.1,2.78,3.25,3.52,1.94,4.43,2.49,2.92,,2.13,2.69
h_1,4.77,3.46,3.26,3.43,3.64,3.05,0.06,0.43,0.99,0.6,0.62,0.59,,1.09,0.43,0.73
d_0,1.66,2.53,2.51,,2.62,2.3,0.87,0.08,0.69,0.52,0.46,0.46,0.44,0.45,0.57,0.4
g_1,4.1,3.25,3.41,2.83,3.58,3.52,0.71,0.99,0.05,0.78,0.83,0.49,0.32,0.9,0.86,
c_0,2.85,2.73,,1.1,2.99,2.97,0.79,0.71,0.74,0.08,0.58,0.47,0.3,0.4,0.55,0.42
b_0,2.11,2.72,3.56,3.0,,2.32,0.71,0.43,0.66,0.41,0.07,0.7,0.35,0.62,0.56,0.25
f_0,2.32,,2.63,2.13,2.62,2.49,1.28,0.46,0.46,0.55,0.39,0.07,0.36,0.79,0.52,0.24
h_0,1.81,1.84,1.73,1.57,1.56,1.75,,0.29,0.57,0.36,0.48,0.34,,0.3,0.26,0.15
a_0,2.14,2.28,2.43,1.98,3.16,,0.82,1.03,0.83,0.41,0.37,0.41,0.45,0.05,,0.38
e_0,,4.39,2.44,3.32,2.53,2.29,0.55,0.57,0.65,0.71,0.45,0.28,0.36,,0.05,0.32
g_0,2.12,1.55,1.84,1.76,1.76,1.97,0.33,0.63,,0.38,0.34,0.35,0.16,0.26,0.29,
