,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.68,4.13,4.57,4.65,5.38,6.83,2.57,2.35,3.48,2.12,2.16,2.14,1.62,1.68,,1.27
f_1,6.37,0.67,5.89,5.47,5.48,7.43,1.91,2.69,2.16,1.76,2.2,,1.11,1.97,1.61,2.13
d_1,7.35,6.91,0.65,5.18,5.38,4.11,2.6,1.56,,2.39,2.16,2.3,2.32,1.59,2.09,1.33
c_1,6.13,7.47,7.72,0.64,5.75,4.97,2.66,2.18,1.3,,2.26,2.39,1.64,2.4,2.2,1.64
b_1,7.08,5.52,6.83,4.49,0.63,7.29,2.66,4.42,1.94,2.97,,1.94,1.74,2.13,2.0,1.57
a_1,6.35,7.29,8.75,9.54,4.42,0.56,2.84,2.76,2.85,,,2.84,2.83,,1.96,2.32
h_1,6.37,5.45,5.58,4.41,4.83,5.03,0.62,1.87,1.39,1.54,1.48,2.19,,1.79,1.75,1.61
g_1,7.11,5.83,7.12,6.79,4.34,5.07,2.31,0.58,1.66,1.8,1.66,2.02,1.26,1.59,,
d_0,2.46,4.72,,6.42,5.54,4.99,2.25,2.51,0.7,1.68,1.8,1.87,1.24,2.11,1.67,1.4
c_0,4.61,4.89,2.9,,4.98,,2.14,2.48,2.02,0.71,2.22,1.72,1.66,1.48,1.5,1.42
b_0,4.97,4.31,5.16,5.76,,,2.74,2.72,1.95,1.24,0.67,1.36,1.51,2.96,,1.56
f_0,5.68,,4.48,4.48,5.31,3.77,2.09,1.75,2.38,1.8,2.55,0.65,1.77,,2.35,1.07
h_0,4.29,5.27,4.48,5.25,4.83,3.6,,2.37,1.73,1.44,1.49,1.29,,1.7,1.1,1.46
a_0,7.37,6.62,7.88,4.64,7.58,,2.77,2.55,2.39,2.24,1.01,,1.76,0.61,,1.28
e_0,,9.57,4.68,5.28,5.67,5.54,2.58,,2.59,2.01,,1.52,2.12,,0.61,1.61
g_0,6.95,3.86,5.51,5.95,5.66,3.56,1.89,,1.75,2.23,1.82,1.95,0.99,2.08,2.09,
