,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.53,0.83,1.14,0.73,0.86,0.72,1.04,1.69,1.0,1.03,1.12,0.97,1.19,0.93,1.07,0.82
f_1,1.36,1.54,0.87,0.78,0.76,0.74,0.94,1.04,0.88,1.0,0.74,0.93,0.96,0.85,1.05,0.65
c_1,0.81,0.91,1.57,0.93,1.36,0.74,0.96,0.9,0.86,0.66,0.98,0.78,1.22,0.84,1.13,0.79
d_1,0.96,1.08,0.72,1.58,0.82,0.72,1.08,0.82,0.9,1.61,1.08,1.15,1.2,0.91,1.11,0.87
b_1,0.88,0.94,0.77,0.96,1.61,1.37,1.14,1.04,1.06,1.04,1.09,0.85,1.15,0.83,0.9,0.86
a_1,0.98,0.93,0.97,1.15,0.82,1.73,1.17,1.2,1.14,1.16,1.25,1.24,1.21,0.72,1.12,1.14
h_1,1.08,1.43,1.17,1.15,1.01,0.84,1.8,1.16,1.46,1.2,1.2,1.06,1.24,1.06,1.43,1.03
d_0,0.97,1.14,1.9,0.97,1.11,0.86,1.4,1.71,1.22,0.88,1.23,1.06,1.45,1.2,1.27,1.2
g_1,1.08,1.17,1.22,1.58,1.01,0.87,1.31,1.36,1.89,1.27,1.74,1.2,1.23,1.04,1.12,1.14
c_0,1.34,1.33,1.05,1.12,0.88,0.81,1.54,1.73,1.33,1.79,1.46,2.1,1.45,1.4,1.38,1.2
f_0,1.09,1.22,1.38,1.22,1.11,0.79,1.53,1.45,1.18,1.33,1.75,1.39,1.71,1.18,1.3,2.0
b_0,1.24,1.41,1.36,1.08,0.94,0.71,1.58,1.72,1.31,1.23,1.34,1.88,1.5,2.15,1.27,1.26
h_0,1.22,1.57,1.09,1.33,1.17,0.96,1.26,1.41,1.63,1.46,1.27,1.38,1.31,1.23,1.7,1.17
a_0,1.28,1.35,1.4,1.14,1.18,0.9,1.7,1.65,1.39,1.29,1.49,1.23,1.59,1.88,1.41,1.3
g_0,1.2,1.18,1.1,1.63,1.25,0.93,1.5,1.41,1.32,1.63,1.97,1.48,1.41,1.18,1.36,1.4
e_0,1.11,1.5,1.45,1.46,1.21,0.78,1.59,1.48,1.44,1.48,1.15,1.33,1.71,1.39,1.44,1.89
