,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.52,1.06,0.65,0.71,0.56,0.58,0.65,0.73,0.72,0.75,0.75,0.44,0.65,0.71,0.46,0.76
e_1,0.62,1.53,0.56,0.77,0.75,0.55,0.85,0.68,0.82,1.33,0.86,0.74,0.82,0.85,0.51,0.8
d_1,0.8,0.73,1.54,0.61,0.6,0.6,0.81,0.67,1.24,0.45,0.91,0.9,0.7,0.85,0.67,0.71
c_1,0.61,0.7,0.71,1.55,1.12,0.51,0.68,0.55,0.38,0.66,0.56,0.67,0.65,0.86,0.57,0.79
b_1,0.79,0.58,0.82,0.63,1.58,0.86,0.73,0.7,0.8,0.79,0.48,0.76,0.63,0.98,0.83,0.87
a_1,0.83,0.7,0.8,0.78,0.55,1.73,0.94,0.87,0.89,0.92,0.88,0.79,0.45,0.96,0.79,0.95
h_1,1.24,0.8,1.04,0.89,0.81,0.6,1.76,1.26,1.09,0.98,1.03,0.89,0.79,0.8,0.85,1.25
g_1,1.01,0.79,1.34,1.05,0.79,0.67,0.86,1.84,0.88,0.9,1.1,1.36,0.84,0.98,1.05,0.74
c_0,1.08,0.92,0.91,0.73,0.69,0.8,1.22,1.26,1.65,1.15,1.82,1.1,1.25,1.27,0.98,1.12
d_0,0.98,0.79,0.65,1.53,0.91,0.8,1.3,1.02,0.82,1.62,1.03,0.99,0.92,1.19,0.77,1.07
b_0,1.15,0.92,1.04,1.14,0.6,0.62,1.13,1.04,1.0,1.16,1.67,1.18,1.8,1.3,0.84,1.01
f_0,0.82,0.9,1.04,1.1,0.85,0.86,1.21,1.11,1.18,1.11,1.08,1.66,1.09,1.4,1.65,0.99
a_0,1.13,0.83,1.18,1.03,1.08,0.55,1.36,1.16,1.09,1.07,0.96,1.07,1.72,1.45,1.02,1.12
h_0,1.48,0.92,1.13,0.9,0.77,0.85,0.87,1.47,1.13,1.15,1.2,0.94,0.95,0.93,1.05,1.36
e_0,1.28,0.55,1.15,1.26,0.76,0.8,1.36,1.22,1.07,1.3,1.23,1.0,1.04,1.15,1.85,1.27
g_0,0.94,0.91,1.6,1.02,0.89,0.82,1.19,0.86,1.16,0.95,1.25,1.56,1.08,1.04,1.02,0.88
