,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.5,1.08,0.59,0.62,0.53,0.61,0.68,0.69,0.67,0.71,0.77,0.42,0.76,0.63,0.83,0.47
e_1,0.7,1.52,0.6,0.83,0.6,0.43,0.87,0.86,0.75,1.35,0.76,0.91,0.93,0.8,0.84,0.53
d_1,0.76,0.69,1.54,0.64,0.67,0.45,0.84,1.32,0.6,0.45,0.8,0.79,0.83,0.64,0.72,0.78
c_1,0.73,0.57,0.75,1.55,1.05,0.54,0.84,0.42,0.64,0.66,0.59,0.7,0.87,0.6,0.85,0.62
b_1,0.75,0.67,0.77,0.66,1.62,0.95,0.85,0.82,0.65,0.82,0.54,0.78,0.88,0.7,0.71,0.63
a_1,0.68,0.85,0.86,0.8,0.56,1.79,0.88,0.95,0.95,0.93,0.93,0.89,1.02,0.48,0.89,0.71
h_1,1.18,0.79,1.01,0.81,0.76,0.69,1.73,0.98,1.2,1.08,1.1,0.94,0.76,0.76,1.42,0.81
c_0,1.19,0.9,0.79,0.84,0.72,0.72,1.18,1.6,1.28,1.32,1.89,1.17,1.24,1.15,1.02,0.99
g_1,0.94,0.88,1.3,0.95,0.92,0.62,0.98,1.01,1.82,0.95,0.99,1.31,0.93,0.95,0.67,0.95
d_0,1.05,0.71,0.81,1.63,0.82,0.7,1.11,0.81,1.09,1.6,1.16,1.03,1.19,1.05,1.37,1.01
b_0,1.19,0.92,1.0,1.16,0.49,0.64,0.98,0.93,1.07,1.2,1.71,1.08,1.29,1.88,1.22,0.94
f_0,0.89,0.75,1.07,1.09,0.94,0.77,1.26,1.13,0.98,1.13,1.02,1.69,1.14,1.1,0.92,1.87
h_0,1.46,0.94,1.0,1.0,0.82,0.7,0.85,1.1,1.53,1.11,1.08,1.03,1.0,0.91,1.31,0.71
a_0,1.14,0.86,1.29,1.05,0.94,0.51,1.31,1.1,0.96,1.27,0.91,1.09,1.44,1.71,1.23,1.16
g_0,0.93,0.93,1.45,1.06,0.95,0.63,1.03,1.3,1.06,1.09,1.1,1.66,1.21,0.81,0.91,1.11
e_0,1.31,0.73,1.06,1.18,0.93,0.8,1.16,1.37,0.88,1.14,1.03,0.94,1.47,0.89,1.27,1.75
