,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.53,0.9,0.71,0.57,0.65,0.64,0.92,0.66,1.37,0.69,0.97,0.85,0.92,0.82,0.79,0.72
f_1,0.66,1.52,1.16,0.77,0.59,0.54,0.81,0.9,0.88,0.75,0.83,0.56,0.9,0.63,0.5,0.74
e_1,0.69,0.7,1.55,0.87,0.74,0.61,0.8,1.5,0.86,0.85,0.82,0.88,1.05,0.78,0.53,0.97
c_1,0.88,0.7,0.67,1.56,1.13,0.47,0.84,0.74,0.55,0.77,0.65,0.8,0.92,0.76,0.79,0.89
b_1,0.81,0.8,0.68,0.68,1.61,1.16,0.91,0.99,0.77,0.78,0.68,0.83,0.88,0.57,0.77,0.74
a_1,0.85,1.04,0.77,0.89,0.48,1.73,0.94,0.85,0.87,0.89,0.95,0.98,1.08,0.61,0.76,0.96
h_1,1.02,1.28,0.99,0.98,0.88,0.8,1.74,1.05,1.09,1.21,0.99,1.09,0.97,0.88,1.0,1.33
d_0,0.66,0.93,0.77,1.62,1.03,0.97,1.22,1.64,0.99,1.1,1.25,1.16,1.36,1.04,0.98,1.36
c_0,1.01,1.09,1.02,0.86,0.84,0.83,1.34,1.31,1.64,1.19,1.79,1.24,1.31,1.24,0.98,1.24
g_1,1.47,0.89,0.81,1.05,1.01,0.75,1.08,1.02,1.15,1.82,1.15,1.65,1.19,0.8,1.06,0.97
b_0,1.09,1.17,1.04,1.21,0.64,0.66,1.35,1.15,1.18,1.13,1.75,1.18,1.51,1.82,1.23,1.26
f_0,1.24,0.81,0.92,1.07,1.12,0.68,1.16,1.11,1.36,1.13,1.27,1.74,1.43,1.08,1.99,1.03
h_0,1.1,1.39,0.95,1.04,1.01,0.91,0.97,1.19,1.25,1.48,1.27,1.17,1.06,1.11,1.04,1.6
a_0,1.17,1.21,1.08,1.17,1.0,0.58,1.45,1.29,1.27,1.32,1.18,1.18,1.55,1.8,1.17,1.25
e_0,1.2,1.32,0.91,1.08,1.19,0.79,1.17,1.32,1.5,1.16,1.2,1.09,1.62,1.18,1.79,1.5
g_0,1.67,1.09,0.8,1.07,1.11,0.92,1.11,1.01,1.32,0.97,1.23,1.77,1.23,1.1,1.21,1.14
