,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.77,1.08,1.4,1.51,2.92,18.52,27.6,42.21,34.37,41.43,42.63,66.29,91.62,113.08,102.85
f_1,1.29,1.0,0.93,0.96,1.24,2.36,16.61,25.47,26.84,29.72,33.46,39.57,57.87,70.56,79.84,82.94
d_1,0.93,1.08,1.0,0.93,1.13,2.52,17.58,17.89,33.95,36.1,30.8,42.61,60.5,77.51,80.26,88.84
c_1,0.72,1.04,1.07,1.0,1.64,2.88,16.64,20.24,20.1,19.65,29.87,30.18,59.5,68.08,80.79,76.58
b_1,0.67,0.8,0.89,0.62,1.0,3.0,13.79,18.87,22.46,25.24,21.57,25.92,59.97,60.3,68.55,72.54
a_1,0.34,0.42,0.39,0.35,0.33,1.0,6.73,10.26,10.34,12.25,13.17,14.14,23.28,24.71,31.32,31.71
h_1,0.05,0.06,0.06,0.06,0.07,0.14,1.0,1.43,1.49,1.69,1.75,2.18,3.6,3.48,5.62,4.47
g_1,0.04,0.04,0.05,0.05,0.06,0.1,0.7,1.0,1.08,1.18,1.88,1.74,2.39,3.29,3.45,3.23
d_0,0.02,0.04,0.03,0.05,0.04,0.1,0.68,0.89,1.0,0.93,1.23,1.2,2.26,2.54,3.15,3.15
c_0,0.03,0.03,0.03,0.04,0.04,0.07,0.59,0.89,1.03,1.0,1.27,1.77,2.29,2.65,2.96,3.24
f_0,0.02,0.03,0.03,0.03,0.04,0.08,0.55,0.53,0.83,0.81,1.0,1.09,1.77,3.66,2.03,2.75
b_0,0.02,0.02,0.02,0.03,0.04,0.08,0.47,0.58,0.83,0.56,0.92,1.0,1.84,2.17,2.57,3.12
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.27,0.42,0.41,0.42,0.57,0.53,1.0,1.1,1.72,1.28
e_0,0.01,0.02,0.01,0.01,0.02,0.04,0.26,0.3,0.43,0.4,0.27,0.43,0.91,1.0,1.01,0.98
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.31,0.31,0.33,0.47,0.41,0.58,0.96,1.0,0.93
a_0,0.01,0.01,0.01,0.01,0.01,0.03,0.23,0.32,0.3,0.31,0.36,0.33,0.8,0.98,1.1,1.0
