,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.65,1.12,0.58,0.54,0.47,0.48,0.9,0.73,0.87,0.87,1.01,0.4,0.94,1.05,0.77,0.9
e_1,0.68,2.73,0.47,0.75,0.65,0.52,0.74,0.79,1.86,0.99,1.04,1.11,1.0,0.96,0.52,0.98
d_1,0.64,0.53,3.08,0.52,0.58,0.54,1.12,0.97,0.4,1.59,1.06,1.07,1.08,1.08,1.01,1.01
c_1,0.61,0.5,0.67,3.3,1.2,0.43,0.92,0.87,0.8,0.23,0.75,0.99,1.01,0.96,0.95,0.81
b_1,0.6,0.59,0.61,0.63,3.54,1.35,0.76,0.82,0.7,0.82,0.29,0.84,0.75,0.5,0.9,0.8
a_1,0.6,0.66,0.69,0.63,0.57,5.05,0.93,0.66,0.89,1.07,0.87,0.76,1.1,0.26,1.16,1.13
h_1,1.17,0.52,0.82,0.64,0.72,0.68,2.84,1.5,0.79,1.05,1.28,0.94,0.54,1.05,1.09,1.57
g_1,0.63,0.7,1.26,0.72,0.57,0.79,0.94,3.61,0.72,1.0,0.92,1.74,1.06,0.96,1.46,0.75
d_0,0.76,0.77,0.38,1.56,0.67,0.61,1.05,0.97,2.29,0.77,1.21,1.09,1.14,1.22,0.95,1.19
c_0,0.83,0.7,0.89,0.43,0.59,0.74,1.24,1.1,1.28,2.33,2.45,1.49,1.17,1.46,1.33,1.43
b_0,0.95,0.71,0.91,0.74,0.23,0.6,1.14,1.31,1.08,1.28,2.57,1.29,1.21,2.49,1.15,1.19
f_0,0.38,0.56,0.91,0.91,0.73,0.89,1.42,1.41,1.3,1.23,1.33,3.02,1.31,1.35,2.84,1.33
h_0,1.05,0.65,0.85,0.91,0.65,0.67,0.68,1.7,1.07,1.11,1.07,1.1,0.78,1.22,1.27,1.52
a_0,0.87,0.73,0.84,0.81,0.69,0.38,1.03,1.5,1.13,1.07,1.14,1.12,1.34,3.64,1.01,1.02
e_0,0.94,0.42,0.74,0.82,0.6,0.88,1.2,1.53,1.19,1.46,1.48,1.55,1.49,1.09,3.74,1.26
g_0,0.63,0.53,1.35,0.84,0.73,0.61,0.96,1.02,0.93,1.1,1.2,1.84,1.31,1.07,1.07,0.9
