,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.07,5.07,7.92,9.28,9.58,10.28,3.83,2.78,3.55,2.98,2.36,3.04,1.65,2.96,2.24,
f_1,12.47,1.07,9.63,9.57,9.86,8.28,2.53,3.01,2.74,2.24,2.7,,1.75,2.34,2.45,1.86
d_1,13.26,8.57,1.07,8.67,8.5,8.71,3.63,,2.32,3.94,3.26,2.32,2.35,2.31,1.4,2.02
c_1,9.84,9.47,12.05,1.07,10.54,9.54,5.55,1.83,3.69,,2.25,2.47,2.08,3.52,1.85,1.99
b_1,9.27,10.3,10.01,6.96,1.07,9.01,4.35,2.98,3.62,3.66,,3.19,1.94,3.58,2.5,
a_1,12.79,17.68,15.21,11.56,8.81,1.07,4.49,4.14,,4.16,4.4,4.66,4.32,,2.91,3.55
h_1,12.02,18.08,12.39,11.65,11.64,13.54,1.41,5.05,6.14,3.68,3.13,3.56,,3.7,4.18,4.23
d_0,11.04,14.17,,16.26,17.29,11.28,4.62,1.71,3.78,3.1,5.01,3.65,3.27,3.21,2.51,3.81
g_1,18.23,22.8,19.67,14.79,17.18,,4.25,7.16,1.41,5.99,6.74,4.62,2.8,3.38,,4.87
c_0,13.06,17.21,9.1,,13.33,11.88,7.86,5.52,4.85,1.74,5.1,4.63,4.04,3.75,3.07,3.19
b_0,20.34,17.69,15.91,22.12,,15.28,7.76,4.03,5.65,3.27,1.72,6.5,3.14,5.56,3.12,3.02
f_0,19.2,,16.7,17.29,15.26,12.5,7.0,5.73,3.97,4.59,4.05,1.74,5.42,3.89,2.75,
h_0,16.93,17.62,15.96,16.81,17.6,12.83,,4.57,7.31,4.24,4.59,3.8,,3.75,3.35,4.69
a_0,17.16,28.15,26.56,22.85,25.82,,7.85,7.56,9.33,8.41,3.26,6.09,4.73,1.73,,
g_0,23.16,16.05,21.6,20.48,16.54,22.51,3.9,6.83,,5.52,7.16,5.22,3.96,,,
e_0,,37.38,26.67,25.56,,17.94,7.78,5.79,8.25,8.07,7.9,,4.39,,,1.72
