,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.13,2.94,5.33,5.8,5.46,5.96,1.85,1.12,1.67,1.06,1.18,1.12,0.9,0.97,0.78,2.51
f_1,4.77,1.12,5.81,4.36,6.07,5.31,1.16,1.22,1.63,1.1,1.65,0.94,0.51,0.97,0.94,1.02
c_1,4.34,6.14,1.13,7.49,6.19,5.4,1.54,0.63,1.48,2.38,1.06,1.22,1.0,1.21,1.03,1.01
d_1,7.35,6.24,5.84,1.12,6.02,4.47,1.41,3.35,1.07,1.08,1.06,1.34,0.82,1.21,0.52,1.02
b_1,7.26,7.09,3.63,7.09,1.14,5.96,2.09,1.52,2.2,1.49,1.54,3.09,0.94,1.6,0.84,1.15
a_1,10.36,8.95,9.52,10.34,3.92,1.14,2.9,2.47,2.4,2.47,2.21,3.55,1.47,4.53,1.87,3.05
h_1,17.84,19.67,18.99,14.81,16.46,18.18,1.8,3.68,4.67,3.0,2.77,3.06,3.52,3.01,2.53,2.72
d_0,10.08,24.35,21.24,38.84,24.9,20.5,6.35,2.33,6.52,4.71,3.9,3.5,3.41,4.0,3.19,3.92
g_1,22.04,27.63,23.91,19.78,21.7,19.91,4.6,5.31,1.86,4.45,4.16,4.63,2.41,5.78,5.4,4.22
c_0,23.3,22.76,64.56,11.75,25.8,25.5,7.02,8.14,7.15,2.3,4.53,4.55,3.13,5.78,3.13,4.11
f_0,25.23,63.31,25.82,24.69,24.07,24.03,7.13,5.86,4.67,4.78,2.5,5.07,4.06,4.88,2.32,5.77
b_0,29.03,30.28,35.87,21.52,53.04,25.5,7.84,6.32,9.33,2.79,5.06,2.24,3.7,4.7,3.58,4.91
h_0,33.56,37.85,29.35,28.95,32.18,34.28,18.91,7.72,9.33,7.2,6.53,7.0,8.35,7.09,5.09,5.48
a_0,34.84,44.08,39.37,43.63,45.46,74.68,10.74,7.05,10.03,7.63,7.11,3.75,5.32,2.51,5.48,5.87
g_0,43.04,47.05,37.98,33.18,46.19,44.49,9.89,9.64,22.4,7.63,7.7,8.44,4.26,8.36,7.31,7.0
e_0,69.02,61.09,43.62,40.83,46.19,34.85,11.6,8.52,15.63,9.16,4.1,8.44,6.09,7.52,5.24,2.84
