,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.37,2.25,1.99,2.06,1.8,0.72,0.87,0.7,0.59,0.6,0.98,0.39,0.57,0.47,0.5
e_1,1.55,1.06,2.89,2.3,2.38,1.58,0.92,1.21,0.8,0.69,0.66,0.81,0.51,0.57,0.86,0.53
c_1,2.44,1.95,1.06,2.77,2.51,2.24,0.88,0.85,0.45,0.79,0.64,0.57,0.51,0.63,0.65,0.48
d_1,2.5,2.83,2.02,1.06,2.4,1.7,0.86,0.61,1.06,0.76,0.76,0.7,0.6,0.66,0.72,0.38
b_1,3.03,2.65,1.76,2.45,1.07,3.12,1.09,0.97,0.92,1.07,1.25,0.77,0.66,0.62,0.67,0.67
a_1,4.43,4.31,3.56,3.85,2.01,1.07,1.7,1.29,0.97,0.94,1.19,0.9,0.92,1.26,0.81,0.75
h_1,6.69,5.78,6.19,5.52,5.04,4.2,1.33,2.17,1.74,1.6,1.84,1.44,2.3,1.51,1.36,1.52
g_1,7.75,6.16,7.31,7.62,6.65,6.45,2.25,1.35,2.31,2.19,1.98,2.42,1.28,2.66,1.76,1.7
d_0,8.12,4.42,8.88,11.01,6.56,7.38,2.87,2.73,1.57,1.92,2.25,1.93,1.86,2.22,1.75,1.88
c_0,8.22,7.44,13.99,4.61,6.52,6.55,3.02,2.79,2.92,1.61,2.41,2.01,2.04,2.24,2.2,1.62
b_0,8.2,7.59,9.63,6.24,12.9,6.2,2.99,2.63,2.32,1.38,1.54,2.58,1.95,2.33,2.2,2.07
f_0,11.8,7.47,9.73,8.01,7.75,7.16,3.44,1.89,2.4,2.57,2.49,1.53,2.16,2.3,2.55,1.61
h_0,10.76,10.04,8.97,8.85,10.09,9.24,4.2,3.94,2.68,2.63,2.29,2.58,2.68,2.39,1.93,2.04
a_0,10.76,10.26,11.4,9.13,10.48,13.09,4.21,2.88,3.14,2.62,1.77,3.53,2.18,1.6,2.27,2.13
e_0,16.44,16.31,10.21,9.86,9.22,9.65,4.27,3.21,3.42,2.8,2.82,1.74,3.24,4.07,1.59,2.15
g_0,11.36,10.51,12.13,11.94,9.98,12.96,3.15,4.79,2.89,3.13,2.75,3.06,2.01,2.99,2.75,3.1
