,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,31.64,28.72,27.68,33.24,26.41,6.99,8.34,6.21,5.61,8.6,,4.66,8.51,4.44,8.61
d_1,38.68,0.44,35.64,40.1,25.52,37.53,10.8,6.36,6.55,,5.76,7.04,3.71,6.15,3.3,7.08
e_1,22.37,42.71,0.44,31.31,44.49,28.36,9.01,10.82,6.89,7.17,6.48,7.01,4.29,5.42,5.76,
c_1,33.4,44.4,47.45,0.41,25.71,59.41,8.24,11.09,,3.31,8.98,7.37,4.52,7.78,5.41,6.62
b_1,31.26,44.21,45.55,20.89,0.39,46.34,9.69,10.18,10.16,8.27,,6.32,5.72,7.06,5.19,6.71
a_1,54.87,55.13,45.19,39.85,25.6,0.35,13.88,11.42,8.17,8.25,,,5.02,,4.97,
h_1,13.97,15.88,16.14,19.45,15.82,13.81,0.38,5.03,3.67,4.28,3.26,3.3,,3.23,3.03,3.55
g_1,32.46,18.99,23.36,23.41,22.61,19.25,4.63,0.34,3.44,3.09,4.96,2.91,2.14,5.22,,
c_0,13.1,8.71,16.79,,21.08,16.24,3.53,3.89,0.5,4.15,3.36,3.55,1.68,,2.31,2.65
d_0,12.88,,9.0,11.26,17.84,20.21,4.49,6.78,3.24,0.5,3.0,2.93,2.37,3.92,1.8,4.67
b_0,18.7,17.85,21.4,28.31,,,4.2,4.62,1.76,2.49,0.47,3.34,2.59,5.01,2.7,3.08
f_0,,11.9,21.16,17.91,17.2,,5.15,3.04,3.0,4.03,2.68,0.45,3.07,3.89,1.67,3.24
h_0,13.03,14.38,11.14,13.42,13.25,10.99,,3.34,2.33,2.75,1.94,2.53,,2.04,2.09,2.22
a_0,21.63,21.68,25.31,22.31,29.14,,8.4,4.48,,5.36,2.12,4.94,2.36,0.35,2.26,
g_0,20.45,11.93,13.32,13.42,21.64,14.04,2.7,,2.59,3.38,2.83,2.65,1.47,2.4,,2.56
e_0,22.15,22.26,,23.13,17.05,,5.07,,6.09,3.66,3.56,2.32,2.98,,2.21,0.37
