,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.39,0.84,1.15,1.3,1.05,0.76,1.98,3.67,2.03,1.89,1.99,2.19,2.59,2.75,1.17,1.82
d_1,0.94,2.45,1.08,0.86,0.91,0.81,1.89,1.59,3.79,1.81,2.72,2.24,3.01,2.77,2.33,2.21
f_1,1.79,0.88,2.42,1.16,0.86,0.78,1.66,2.37,1.9,1.48,1.81,1.3,2.84,2.25,1.3,1.49
c_1,1.03,0.91,1.08,2.44,1.84,0.84,1.94,1.7,1.62,1.67,1.37,1.87,2.49,2.35,1.61,1.54
b_1,1.07,1.04,1.07,1.04,2.62,1.57,1.94,2.13,1.78,1.7,1.47,1.98,2.79,2.56,1.69,1.47
a_1,1.1,1.09,1.17,1.07,0.83,3.11,2.1,2.33,2.15,1.78,2.2,2.49,2.72,2.64,2.02,1.38
h_1,1.09,1.22,1.46,1.1,0.96,0.86,3.56,2.11,2.09,2.34,2.13,2.19,2.23,3.24,1.74,1.91
d_0,1.06,0.72,1.23,1.9,1.28,0.84,2.2,3.29,1.46,1.87,2.07,2.13,2.77,2.26,1.58,2.07
c_0,1.17,1.29,1.2,1.01,0.86,0.96,1.98,2.3,3.5,1.77,3.88,2.52,3.1,2.98,2.11,2.63
g_1,0.83,1.56,0.98,1.11,1.15,0.91,2.05,1.98,2.38,3.77,2.26,3.19,2.75,2.54,2.18,1.95
b_0,1.11,1.15,1.31,1.29,0.9,0.71,2.23,2.3,2.44,1.83,3.62,2.25,3.09,3.02,1.72,3.97
f_0,0.9,1.34,0.9,1.15,1.12,0.98,2.16,2.33,2.4,2.05,2.61,3.64,3.18,3.13,3.52,2.45
h_0,1.15,1.17,1.42,1.15,0.94,0.81,1.66,2.31,2.04,2.32,2.23,2.3,2.26,3.42,1.75,1.87
g_0,0.98,1.66,1.0,1.17,1.0,0.81,2.01,2.03,2.48,1.84,2.17,3.26,2.74,1.97,1.93,1.92
e_0,0.67,1.33,1.35,1.14,1.12,0.91,2.16,1.96,2.55,1.91,2.52,2.8,3.44,3.06,4.11,2.45
a_0,1.09,1.23,1.17,1.4,1.02,0.86,2.14,2.31,2.3,2.13,2.61,2.48,3.41,2.84,2.01,3.66
