,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,12.42,1.81,0.6,0.58,0.6,0.47,0.79,0.69,0.74,0.88,0.76,0.57,0.98,1.05,0.76,0.59
e_1,0.7,12.68,0.55,0.97,0.58,0.64,0.92,0.8,0.83,2.22,0.99,0.95,0.94,1.01,0.99,0.62
d_1,0.77,0.56,13.58,0.45,0.57,0.74,0.99,1.15,2.46,0.59,1.22,0.95,1.03,0.97,1.02,0.95
c_1,0.61,0.48,0.62,15.93,1.68,0.58,0.81,0.76,0.41,0.76,0.58,1.03,0.82,0.7,0.94,1.01
b_1,0.56,0.63,0.67,0.64,15.15,1.61,1.0,0.86,0.92,0.86,0.57,0.87,1.12,0.69,0.85,0.94
a_1,0.79,0.59,0.77,0.75,0.59,20.24,0.94,0.96,0.85,1.0,1.27,1.01,1.06,0.63,1.01,1.26
h_1,1.11,0.53,1.05,0.72,0.56,0.66,3.82,1.57,1.06,0.93,1.37,1.03,0.77,1.11,1.79,1.32
g_1,0.55,0.6,1.63,0.75,0.66,0.63,0.97,4.52,1.21,0.72,1.27,2.09,1.01,1.14,0.84,1.2
c_0,0.81,0.68,0.89,0.55,0.56,0.87,1.21,1.29,2.56,1.04,3.54,1.57,1.33,1.58,1.56,1.27
d_0,0.67,0.68,0.49,2.44,0.77,0.67,0.92,1.19,0.57,2.19,1.02,1.08,0.85,0.91,0.99,1.35
b_0,0.86,0.63,0.89,0.8,0.55,0.6,1.25,1.38,1.16,1.05,2.87,1.35,1.32,3.47,1.54,1.35
f_0,0.55,0.49,0.83,0.92,0.8,0.94,1.52,1.25,1.15,1.07,1.39,2.95,1.23,1.29,1.36,3.73
h_0,1.12,0.7,0.88,0.69,0.69,0.75,0.79,1.77,1.04,0.96,1.05,1.2,0.67,1.37,1.71,0.84
a_0,0.78,0.65,1.13,0.72,0.73,0.42,1.37,1.26,1.11,0.92,1.28,1.19,1.41,3.63,1.46,1.31
g_0,0.69,0.51,1.54,0.72,0.66,0.8,1.28,0.98,1.09,0.82,1.2,2.0,1.14,1.23,0.74,1.62
e_0,0.85,0.35,0.89,0.99,0.71,0.78,1.26,1.3,1.25,0.8,1.14,1.26,1.24,1.38,1.22,3.86
