,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.91,1.28,1.47,1.33,1.24,0.56,0.54,0.63,0.44,0.45,0.52,0.47,0.5,0.73,0.45
f_1,1.25,0.66,1.17,1.45,1.34,1.21,0.41,0.47,0.63,0.43,0.41,0.58,0.3,0.39,0.35,0.44
d_1,1.68,1.5,0.64,1.15,1.24,1.1,0.59,0.82,0.46,0.56,0.51,0.43,0.43,0.41,0.48,0.28
c_1,1.15,1.3,1.73,0.64,1.42,1.16,0.69,0.31,0.59,0.65,0.43,0.47,0.42,0.46,0.44,0.34
b_1,1.54,1.54,1.31,0.98,0.62,1.52,0.77,0.59,0.52,0.58,0.8,0.5,0.37,0.56,0.5,0.47
a_1,1.66,1.65,1.69,1.82,1.03,0.57,0.85,0.71,0.78,0.68,0.75,0.68,0.55,0.77,0.54,0.51
h_1,1.94,2.57,1.87,1.92,1.86,1.62,0.57,0.71,0.89,0.64,0.72,0.58,0.72,0.61,0.51,0.55
d_0,1.42,2.15,2.79,2.69,2.09,1.88,1.09,0.62,0.97,0.77,0.75,0.83,0.65,0.7,0.69,0.77
g_1,2.08,2.13,2.27,2.16,2.46,1.8,0.84,0.83,0.55,0.8,0.79,0.92,0.54,0.69,0.68,1.03
c_0,2.53,2.34,1.42,3.32,2.06,2.18,1.19,1.08,1.09,0.58,1.06,0.9,0.59,0.83,0.77,0.62
b_0,2.17,2.61,2.02,2.7,2.75,1.81,0.99,0.87,1.04,0.53,0.61,0.71,0.63,0.97,0.75,0.59
f_0,2.36,3.33,2.29,2.15,2.44,1.97,1.19,0.85,0.75,0.79,0.83,0.58,0.62,0.88,1.05,0.46
h_0,2.55,2.71,2.2,2.23,2.58,2.11,1.37,0.97,1.15,0.95,0.83,1.02,0.91,0.77,0.72,0.78
a_0,2.57,3.09,2.73,2.85,2.79,3.34,1.16,1.19,1.24,0.9,0.56,0.86,0.81,0.56,0.86,0.86
e_0,3.08,3.62,2.41,2.66,2.56,2.69,1.46,1.1,1.16,0.95,1.03,0.58,0.82,0.84,0.57,0.74
g_0,2.49,2.85,3.05,3.05,2.43,2.43,1.0,0.88,1.33,0.96,1.03,1.03,0.65,0.91,0.84,0.85
