,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.44,1.02,1.58,1.69,2.04,1.95,0.46,0.53,0.4,0.37,0.35,0.34,0.34,0.26,0.99,0.28
f_1,1.6,0.43,1.8,1.61,1.79,1.47,0.34,0.58,0.33,0.31,0.63,0.33,0.33,0.16,0.29,0.24
c_1,1.5,1.72,0.42,2.34,1.61,1.57,0.53,0.49,0.2,0.56,0.37,0.36,0.39,0.28,0.37,0.23
d_1,2.04,1.87,2.16,0.4,1.69,1.74,0.54,0.29,0.86,0.34,0.39,0.33,0.38,0.23,0.29,0.16
b_1,1.71,2.04,1.07,2.11,0.4,1.71,0.63,0.64,0.43,0.48,0.39,1.17,0.42,0.32,0.36,0.35
a_1,2.55,2.96,2.58,2.31,1.24,0.32,0.72,0.71,0.55,0.56,0.46,0.73,0.99,0.45,0.51,0.4
h_1,2.65,2.75,2.7,2.89,2.9,2.16,0.33,0.86,0.57,0.55,0.52,0.57,0.53,0.61,0.48,0.39
g_1,3.29,3.31,3.07,2.86,3.61,3.23,0.66,0.3,0.73,0.5,0.63,0.51,0.53,0.38,0.6,0.6
d_0,1.69,3.27,3.2,5.8,3.0,2.99,0.96,1.21,0.39,0.68,0.64,0.8,0.72,0.41,0.78,0.6
c_0,4.07,4.39,5.68,1.82,3.71,2.97,1.12,0.97,1.06,0.34,0.66,0.64,0.6,0.51,0.62,0.6
f_0,3.14,6.03,3.86,3.47,3.27,3.01,1.03,0.63,0.74,0.66,0.34,0.71,0.56,0.58,0.76,0.34
b_0,4.02,3.68,4.05,3.0,5.62,3.41,0.98,0.99,0.83,0.33,0.69,0.31,0.76,0.49,0.59,0.49
a_0,4.4,3.82,4.29,3.17,5.4,6.84,1.29,1.12,0.98,0.65,0.63,0.44,0.3,0.47,0.85,0.55
h_0,3.84,4.15,3.8,3.4,4.28,4.02,1.78,1.21,1.05,0.87,0.79,0.85,0.77,0.9,0.79,0.59
e_0,6.12,7.51,3.87,3.47,3.91,3.93,1.17,1.12,1.13,0.87,0.43,1.02,0.78,0.73,0.31,0.51
g_0,4.13,4.98,4.98,3.9,3.88,4.44,1.01,1.99,1.07,0.91,1.03,0.95,0.97,0.51,1.03,0.91
