,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.82,0.97,1.2,1.01,0.92,1.08,1.04,1.39,0.99,1.03,1.16,1.02,1.03,1.12,1.14
f_1,1.22,1.0,0.94,1.01,0.89,0.97,0.82,1.07,1.01,0.86,0.99,0.9,0.85,0.97,0.89,0.86
d_1,1.03,1.07,1.0,0.94,0.89,0.95,1.08,0.83,1.05,1.35,1.08,1.03,1.03,0.95,0.87,1.01
c_1,0.83,0.99,1.03,1.0,1.46,0.95,1.0,1.04,0.74,0.85,0.77,0.92,0.98,0.95,0.94,0.96
b_1,0.99,1.11,1.09,0.69,1.0,1.39,0.99,1.02,0.85,1.15,1.05,0.99,1.06,0.97,1.09,0.93
a_1,1.07,1.03,1.08,1.06,0.74,1.0,1.21,1.0,1.12,1.1,1.15,1.06,1.16,1.09,1.07,1.08
h_1,0.94,1.22,0.95,1.0,1.01,0.84,1.0,1.14,0.97,0.85,0.97,0.9,1.04,1.02,1.15,0.92
g_1,0.96,0.95,1.25,0.97,0.93,1.01,0.89,1.0,0.86,0.88,0.93,1.17,0.87,0.93,1.01,1.04
d_0,0.74,0.97,0.94,1.33,1.19,0.9,1.02,1.1,1.0,0.85,0.99,0.97,1.24,0.97,1.18,1.05
c_0,1.01,1.13,0.75,1.11,0.87,0.97,1.07,1.11,1.15,1.0,1.46,0.97,1.1,1.04,1.08,1.13
b_0,0.98,1.02,0.91,1.36,0.97,0.78,1.03,1.07,1.03,0.7,1.0,0.99,0.95,1.4,0.98,1.04
f_0,0.91,1.11,1.01,1.02,0.97,0.89,1.09,0.86,0.99,1.03,0.98,1.0,1.13,1.1,0.94,1.46
h_0,1.01,1.15,0.98,0.98,0.95,0.84,0.95,1.14,0.82,0.91,1.03,0.89,1.0,0.9,1.23,0.9
a_0,0.91,1.03,1.02,1.12,1.02,0.97,1.02,1.02,1.01,0.92,0.78,1.05,1.13,1.0,1.0,0.89
g_0,0.94,1.11,1.15,1.04,0.93,0.9,0.84,0.99,0.86,0.89,1.0,1.11,0.82,1.02,1.0,0.95
e_0,0.91,1.2,0.98,1.01,1.04,0.93,1.12,0.93,0.91,0.92,0.98,0.72,1.1,1.05,0.97,1.0
