,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.81,0.87,1.21,0.98,0.71,0.49,0.49,0.58,0.41,0.49,0.41,0.35,0.36,0.34,0.35
f_1,1.28,1.0,0.91,0.98,0.92,0.62,0.42,0.47,0.45,0.41,0.41,0.39,0.31,0.28,0.32,0.31
d_1,1.13,1.1,1.0,0.89,0.89,0.73,0.49,0.39,0.47,0.51,0.4,0.44,0.36,0.35,0.3,0.33
c_1,0.83,1.02,1.15,1.0,1.16,0.86,0.48,0.44,0.32,0.37,0.39,0.34,0.36,0.32,0.31,0.32
b_1,1.04,1.09,1.11,0.86,1.0,1.11,0.56,0.52,0.44,0.5,0.41,0.41,0.42,0.38,0.38,0.32
a_1,1.4,1.51,1.39,1.17,0.94,1.0,0.72,0.63,0.58,0.61,0.56,0.59,0.49,0.44,0.46,0.41
h_1,1.93,2.34,1.98,2.1,1.76,1.37,1.0,1.04,0.84,0.85,0.82,0.83,0.71,0.6,0.73,0.61
g_1,1.94,2.2,2.48,2.26,1.92,1.55,0.94,1.0,0.79,0.85,1.1,0.89,0.71,0.73,0.74,0.65
d_0,1.77,2.2,2.15,3.1,2.32,1.66,1.19,1.16,1.0,0.79,1.02,0.86,0.8,0.78,0.79,0.73
c_0,2.51,2.39,2.03,2.61,2.03,1.68,1.19,1.12,1.21,1.0,1.09,1.26,0.97,0.83,0.75,0.91
f_0,1.95,2.42,2.56,2.49,2.36,1.9,1.19,0.91,0.95,0.96,1.0,0.93,0.83,1.15,0.67,0.81
b_0,2.4,2.57,2.27,2.91,2.35,1.67,1.23,1.18,1.16,0.78,1.12,1.0,0.96,0.83,0.83,1.09
h_0,2.75,3.22,2.85,2.79,2.43,1.97,1.37,1.45,1.17,1.02,1.21,1.03,1.0,0.9,1.05,0.87
e_0,2.65,3.46,2.78,3.12,2.62,2.29,1.65,1.33,1.31,1.19,0.85,1.15,1.16,1.0,0.92,0.84
g_0,2.86,3.2,3.37,3.2,2.74,2.12,1.36,1.38,1.23,1.34,1.46,1.23,0.97,1.11,1.0,0.94
a_0,2.92,3.15,3.05,3.03,3.17,2.38,1.6,1.52,1.2,1.09,1.14,0.94,1.11,1.1,1.03,1.0
