,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,95.41,54.43,88.95,86.46,116.65,302.16,7301.43,12250.26,16119.87,20788.07,25107.0,23413.75,55755.98,66980.36,79981.19,119133.46
d_1,45.12,112.62,55.52,77.14,108.67,297.3,8300.81,11522.01,25698.92,13235.16,36664.23,36443.13,60741.59,79781.17,98645.96,113536.49
e_1,42.27,43.65,118.07,91.8,114.31,290.91,8183.34,13322.18,16670.2,33672.93,32727.74,41120.83,64914.05,73104.21,73823.66,173350.54
c_1,36.39,42.13,40.42,163.56,172.53,269.73,6013.41,9910.12,8041.36,15205.48,20744.0,35513.19,51084.55,57772.93,79718.55,134049.19
b_1,32.67,43.24,40.39,51.52,219.53,411.33,7013.2,8240.1,12688.31,18465.51,9945.9,32355.58,44268.28,60207.82,70162.68,109084.89
a_1,24.46,32.94,30.17,47.62,48.4,500.65,4572.9,8326.46,8834.77,10193.22,17650.91,24934.26,41362.45,30162.79,54186.07,70846.73
h_1,14.0,13.74,12.19,24.43,24.22,67.85,3511.78,4061.09,3628.23,4615.81,5987.89,9129.81,12315.08,15891.17,23627.19,41757.97
g_1,8.6,16.02,10.22,20.19,25.16,57.29,1759.09,5058.89,3122.58,3668.65,5452.93,11166.74,11691.27,18424.34,19772.39,22067.75
c_0,10.52,10.22,10.54,15.18,19.93,68.89,1775.06,2866.68,5118.71,4262.45,10047.15,8322.91,13920.07,18206.5,20624.98,30315.34
d_0,8.82,6.94,9.06,27.87,20.99,59.16,1629.35,2497.09,2208.08,5961.89,5274.07,8391.96,11444.76,12856.68,17612.39,25814.72
b_0,8.57,8.28,9.71,15.87,18.61,49.57,1652.99,2563.83,2468.06,3586.24,7616.35,6549.14,11304.71,21690.39,16914.54,23687.76
f_0,5.48,9.92,7.33,14.76,17.71,46.69,1550.42,1908.59,2730.91,2720.3,5022.21,9852.15,11649.08,13208.58,26270.65,20132.14
h_0,8.21,8.09,6.98,11.85,18.05,40.58,907.34,2336.87,2126.22,2892.79,4399.82,5242.87,7217.85,10019.94,14129.38,24652.87
a_0,6.23,6.25,7.22,11.22,14.81,22.3,1259.57,1470.19,2137.8,2736.19,3050.35,5373.14,9091.26,16359.13,14497.89,19026.84
e_0,5.92,6.68,3.85,11.07,15.5,33.24,1087.95,1573.65,1996.61,2378.08,3737.04,4369.57,7262.38,7456.53,20115.14,15844.0
g_0,4.81,9.22,4.34,8.36,12.19,33.94,911.76,1045.08,2042.27,1925.2,3160.48,6260.12,6312.91,8597.08,11428.44,11929.56
