,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,36.21,0.1,0.08,0.08,0.07,0.06,0.29,0.22,0.35,0.37,0.38,,0.76,0.4,0.28,0.5
e_1,0.07,37.38,0.06,0.05,0.08,0.06,0.32,0.25,0.65,0.39,0.44,0.31,0.45,0.36,,0.57
c_1,0.06,0.05,40.56,0.08,0.11,0.08,0.3,0.29,0.38,,0.44,0.41,0.63,0.25,0.43,0.57
d_1,0.08,0.06,0.06,40.77,0.08,0.07,0.26,0.26,,0.64,0.48,0.35,0.67,0.37,0.43,0.35
b_1,0.07,0.06,0.08,0.06,47.94,0.13,0.31,0.3,0.39,0.44,,0.39,0.43,0.47,0.36,0.64
a_1,0.06,0.09,0.05,0.09,0.05,73.76,0.34,0.28,0.4,0.41,0.37,0.38,0.49,,0.44,0.45
h_1,0.32,0.22,0.22,0.31,0.32,0.2,26.84,1.26,1.54,1.64,1.28,1.13,,1.38,1.53,3.67
g_1,0.18,0.13,0.26,0.38,0.29,0.21,1.09,35.04,1.3,1.16,1.6,3.28,1.69,1.71,1.69,
d_0,0.33,0.48,0.6,,0.3,0.27,1.5,1.36,17.44,1.97,1.46,2.93,3.72,1.3,1.44,3.61
c_0,0.36,0.38,,0.35,0.26,0.44,1.74,1.59,1.65,18.03,3.74,1.58,3.74,1.83,1.92,2.78
b_0,0.32,0.41,0.33,0.28,,0.33,1.23,1.74,1.74,2.01,20.07,1.99,3.46,3.69,2.34,3.18
f_0,,0.23,0.52,0.36,0.3,0.44,1.65,1.92,2.79,2.47,0.97,22.62,3.11,,3.4,2.53
h_0,0.75,0.65,0.62,0.44,0.42,0.47,,3.38,3.31,2.51,3.07,2.54,,2.97,2.32,6.8
a_0,0.38,0.36,0.37,0.34,0.53,,1.61,,1.49,1.74,2.58,1.62,2.83,31.6,,1.85
e_0,0.34,,0.3,0.33,0.41,0.42,1.55,1.29,2.43,2.51,2.0,2.2,3.31,,32.46,2.64
g_0,0.59,0.55,0.45,0.89,0.47,0.61,2.39,,3.24,2.48,1.69,3.13,5.4,2.56,3.44,
