,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.9,0.59,0.25,0.26,0.25,0.18,0.29,0.25,0.21,0.31,0.23,0.13,0.3,0.16,0.13,0.22
e_1,0.37,0.91,0.27,0.35,0.24,0.19,0.3,0.26,0.21,0.49,0.25,0.22,0.28,0.19,0.12,0.25
d_1,0.34,0.3,0.91,0.2,0.27,0.22,0.28,0.55,0.25,0.21,0.33,0.27,0.33,0.23,0.2,0.25
c_1,0.3,0.26,0.31,0.9,0.53,0.16,0.26,0.13,0.22,0.23,0.17,0.22,0.29,0.18,0.17,0.25
b_1,0.31,0.28,0.34,0.24,0.9,0.4,0.32,0.27,0.21,0.27,0.14,0.23,0.29,0.14,0.15,0.24
a_1,0.36,0.3,0.34,0.31,0.24,0.89,0.39,0.3,0.22,0.33,0.27,0.24,0.32,0.13,0.15,0.26
h_1,0.49,0.34,0.36,0.31,0.26,0.21,0.61,0.3,0.31,0.26,0.29,0.24,0.25,0.24,0.17,0.33
c_0,0.43,0.36,0.39,0.24,0.24,0.19,0.31,0.53,0.32,0.34,0.55,0.3,0.37,0.28,0.22,0.27
g_1,0.28,0.32,0.57,0.31,0.3,0.2,0.28,0.35,0.59,0.23,0.25,0.39,0.33,0.19,0.19,0.21
d_0,0.36,0.36,0.27,0.56,0.29,0.18,0.35,0.23,0.24,0.48,0.28,0.21,0.37,0.23,0.18,0.25
b_0,0.41,0.38,0.38,0.35,0.22,0.15,0.34,0.35,0.29,0.31,0.5,0.27,0.36,0.46,0.21,0.25
f_0,0.29,0.28,0.39,0.34,0.33,0.22,0.35,0.38,0.28,0.29,0.32,0.48,0.38,0.3,0.43,0.28
h_0,0.48,0.36,0.4,0.34,0.27,0.16,0.25,0.33,0.32,0.29,0.25,0.25,0.24,0.19,0.22,0.33
a_0,0.43,0.32,0.37,0.39,0.33,0.11,0.33,0.31,0.28,0.3,0.33,0.28,0.34,0.44,0.26,0.24
e_0,0.37,0.24,0.4,0.36,0.32,0.18,0.37,0.35,0.33,0.3,0.32,0.29,0.39,0.26,0.46,0.31
g_0,0.31,0.3,0.53,0.32,0.27,0.19,0.32,0.33,0.23,0.29,0.32,0.42,0.34,0.24,0.25,0.19
