,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.43,0.67,1.2,1.25,1.3,1.32,0.35,0.25,0.4,0.24,0.22,0.36,0.17,0.26,0.21,0.39
f_1,1.13,0.42,1.06,1.25,1.22,1.15,0.25,0.27,0.4,0.22,0.24,0.35,0.13,0.2,0.2,0.22
d_1,1.46,1.29,0.41,1.27,1.14,1.03,0.31,0.45,0.23,0.25,0.29,0.21,0.17,0.22,0.1,0.2
c_1,1.05,1.23,1.5,0.41,1.23,1.03,0.37,0.15,0.32,0.31,0.24,0.22,0.16,0.27,0.19,0.23
b_1,1.3,1.56,1.35,0.76,0.39,1.07,0.45,0.28,0.38,0.31,0.37,0.27,0.17,0.33,0.2,0.26
a_1,1.4,2.03,1.67,1.47,0.83,0.33,0.55,0.37,0.57,0.34,0.59,0.34,0.31,0.76,0.24,0.35
h_1,1.92,2.56,2.02,2.2,2.11,2.16,0.3,0.55,0.61,0.48,0.39,0.43,0.47,0.36,0.37,0.38
d_0,1.48,2.18,3.21,2.54,2.42,2.28,0.63,0.33,0.75,0.46,0.52,0.55,0.42,0.47,0.51,0.55
g_1,2.37,2.72,2.42,2.71,2.62,2.21,0.53,0.6,0.27,0.46,0.43,0.47,0.26,0.42,0.45,0.43
c_0,2.42,2.62,1.54,4.3,2.68,2.2,0.71,0.75,0.69,0.33,0.6,0.52,0.39,0.45,0.37,0.52
b_0,2.45,2.6,2.23,3.82,3.7,2.69,0.82,0.61,0.68,0.28,0.3,0.51,0.4,0.44,0.39,0.5
f_0,2.66,4.15,2.6,2.75,2.43,2.43,0.72,0.62,0.43,0.49,0.5,0.3,0.36,0.42,0.25,0.47
h_0,3.12,3.12,2.6,3.05,3.0,2.79,1.15,0.61,0.82,0.54,0.51,0.57,0.54,0.52,0.45,0.55
a_0,3.11,3.1,2.86,3.82,4.62,3.65,0.77,0.8,0.79,0.52,0.34,0.55,0.49,0.27,0.48,0.59
g_0,3.43,3.65,2.97,3.24,3.41,2.97,0.59,0.77,0.98,0.67,0.67,0.58,0.39,0.51,0.52,0.55
e_0,4.64,5.58,2.71,3.2,2.93,2.98,0.94,0.82,0.89,0.68,0.84,0.3,0.47,0.64,0.41,0.28
