,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,16.56,0.58,0.46,0.65,0.51,0.61,0.94,0.81,1.84,0.64,1.06,0.87,0.86,1.1,0.56,0.95
f_1,1.09,17.25,0.43,0.55,0.39,0.48,0.8,0.7,0.88,0.86,0.31,0.99,0.93,0.72,0.7,0.92
d_1,0.44,0.59,20.79,0.41,0.45,0.46,0.98,1.0,0.28,2.39,0.86,1.52,1.1,1.15,0.97,1.13
c_1,0.47,0.52,0.43,19.28,1.34,0.41,0.82,0.87,0.79,0.28,0.95,0.58,0.89,0.96,1.04,0.78
b_1,0.45,0.51,0.51,0.46,23.03,1.37,0.74,0.98,0.93,0.72,1.05,0.27,1.01,0.75,0.88,0.81
a_1,0.49,0.44,0.64,0.76,0.53,32.36,0.86,0.74,1.03,0.99,1.04,0.84,0.98,0.32,0.9,1.09
h_1,0.55,1.02,0.75,0.66,0.63,0.48,6.02,1.87,1.02,0.97,1.1,1.12,0.66,1.31,1.2,1.57
g_1,0.64,0.49,1.45,0.58,0.58,0.57,1.13,6.63,0.96,1.15,1.91,0.87,1.0,1.19,1.56,0.78
d_0,0.67,0.76,0.28,1.85,0.78,0.6,1.06,0.68,2.97,0.72,1.08,1.03,1.31,1.1,1.27,1.14
c_0,0.77,0.77,1.06,0.32,0.32,0.81,1.15,0.99,1.33,3.74,1.49,3.28,1.33,1.14,1.2,1.43
f_0,0.49,0.37,1.01,0.71,0.72,0.71,1.13,1.29,1.24,0.95,4.62,1.44,1.25,0.96,3.58,1.23
b_0,0.75,0.94,0.72,0.7,0.26,0.57,1.11,1.2,1.32,1.19,1.23,4.26,1.56,2.98,0.99,1.34
h_0,0.66,1.19,1.04,0.66,0.68,0.54,0.46,1.6,0.74,1.27,0.97,0.98,0.67,0.97,1.04,1.7
a_0,0.62,0.65,0.9,0.79,0.71,0.34,1.31,0.89,1.13,1.3,1.34,1.25,1.51,4.56,1.11,0.91
e_0,0.27,0.85,0.94,0.76,0.72,0.48,1.57,1.24,1.3,1.6,1.31,1.51,1.45,0.99,5.57,1.23
g_0,0.57,0.51,1.79,0.64,0.53,0.61,1.23,0.6,0.91,1.06,2.4,1.33,1.39,1.32,1.52,0.65
