,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,14.89,0.65,0.7,0.51,0.48,0.54,1.04,1.99,0.89,0.89,0.95,1.03,0.9,0.82,0.51,1.03
f_1,1.34,14.97,0.52,0.47,0.51,0.44,0.75,0.86,0.79,0.79,0.9,0.35,0.99,0.94,0.7,0.94
c_1,0.4,0.46,18.23,0.5,1.38,0.67,0.85,0.98,0.98,0.34,0.61,1.0,0.77,0.76,0.98,0.9
d_1,0.48,0.68,0.4,20.71,0.51,0.52,1.0,0.36,0.95,2.31,1.12,0.99,1.04,1.23,1.04,0.82
b_1,0.47,0.48,0.71,0.63,19.47,1.31,0.68,0.71,0.66,0.61,0.29,0.88,1.12,0.56,0.86,0.9
a_1,0.51,0.55,0.61,0.77,0.49,27.34,0.88,0.77,1.05,0.9,1.09,0.88,0.91,0.5,0.88,0.93
h_1,0.68,1.37,0.68,0.69,0.6,0.49,4.97,0.94,1.2,1.17,1.15,1.26,0.66,1.46,1.12,1.4
d_0,0.57,0.77,2.02,0.32,0.93,0.57,1.16,2.89,0.89,0.79,1.05,1.4,1.3,1.06,1.42,1.2
g_1,0.52,0.64,0.64,1.56,0.75,0.52,1.1,1.2,5.71,1.44,1.39,1.89,1.14,1.22,1.48,0.69
c_0,0.75,0.9,0.41,1.02,0.39,0.58,1.43,0.97,1.21,3.63,4.11,1.35,1.43,1.67,1.36,1.39
b_0,0.79,0.79,0.73,0.88,0.3,0.68,1.74,1.09,1.13,1.14,3.56,1.58,1.1,3.47,1.39,1.59
f_0,0.5,0.43,0.78,0.86,0.74,1.03,1.11,1.28,1.26,1.37,1.73,4.02,1.33,1.61,3.63,1.32
h_0,0.75,1.37,0.72,0.72,0.66,0.64,0.55,0.95,1.44,0.92,1.43,1.15,0.71,1.26,1.34,1.75
a_0,0.79,0.78,0.93,0.76,0.53,0.46,1.18,1.38,1.05,1.23,1.37,1.33,1.72,4.34,1.67,1.29
e_0,0.33,0.83,0.87,0.8,0.84,0.75,1.18,1.02,1.19,1.45,1.59,1.38,1.58,1.37,5.08,1.46
g_0,0.76,0.49,0.57,1.69,0.92,0.69,1.12,0.94,0.8,1.05,1.19,2.46,1.39,1.13,1.38,0.82
