,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.86,1.09,1.37,1.75,4.17,17.61,27.04,42.91,32.84,41.11,51.43,72.53,84.03,128.19,176.12
f_1,1.16,1.0,1.12,1.2,1.55,4.09,15.92,26.93,28.49,25.86,34.69,36.77,66.41,52.47,131.98,85.41
d_1,0.91,0.9,1.0,1.0,1.53,3.47,16.09,17.43,22.53,33.34,34.94,34.06,55.35,59.68,82.73,93.88
c_1,0.74,0.84,1.01,1.0,1.99,2.43,13.84,16.8,16.93,20.91,23.61,30.41,53.41,59.19,101.43,94.09
b_1,0.57,0.64,0.65,0.5,1.0,3.18,9.14,12.74,15.06,17.24,20.21,25.58,37.2,39.3,58.22,59.81
a_1,0.24,0.25,0.29,0.41,0.31,1.0,5.84,5.91,7.74,7.39,9.16,10.41,17.38,19.29,30.43,36.26
h_1,0.06,0.06,0.06,0.07,0.11,0.17,1.0,1.58,1.69,1.85,2.16,2.22,3.76,4.41,7.85,7.06
g_1,0.04,0.04,0.06,0.06,0.07,0.17,0.64,1.0,1.1,1.32,1.37,2.04,2.68,2.46,4.37,5.54
d_0,0.02,0.04,0.04,0.06,0.06,0.13,0.6,0.93,1.0,0.86,1.22,1.5,2.19,2.62,3.94,4.51
c_0,0.03,0.04,0.03,0.05,0.05,0.13,0.54,0.79,1.12,1.0,1.66,1.5,2.47,2.59,3.56,3.89
b_0,0.03,0.03,0.03,0.04,0.05,0.11,0.47,0.74,0.79,0.59,1.0,1.21,2.57,2.19,3.59,3.43
f_0,0.02,0.03,0.03,0.03,0.04,0.09,0.47,0.48,0.68,0.67,0.83,1.0,1.69,1.89,2.11,4.13
a_0,0.01,0.02,0.02,0.02,0.03,0.05,0.26,0.39,0.45,0.38,0.42,0.6,1.0,0.9,1.74,1.97
h_0,0.01,0.02,0.02,0.02,0.03,0.05,0.22,0.41,0.38,0.39,0.47,0.52,1.05,1.01,1.86,1.59
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.23,0.26,0.26,0.27,0.46,0.56,0.55,1.0,1.07
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.18,0.22,0.25,0.28,0.24,0.51,0.56,0.9,1.0
