,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.85,0.96,1.16,0.92,0.68,0.57,0.49,0.41,0.56,0.41,0.4,0.38,0.34,0.35,0.33
f_1,1.18,1.0,0.88,1.07,0.81,0.72,0.46,0.48,0.39,0.45,0.4,0.36,0.35,0.29,0.28,0.31
d_1,1.1,1.11,1.0,0.85,0.95,0.7,0.51,0.38,0.55,0.45,0.44,0.4,0.36,0.32,0.3,0.28
c_1,0.86,0.93,1.14,1.0,1.35,0.74,0.52,0.43,0.39,0.31,0.34,0.42,0.27,0.36,0.35,0.34
b_1,1.06,1.22,1.04,0.78,1.0,1.15,0.58,0.47,0.5,0.41,0.52,0.43,0.35,0.35,0.35,0.33
a_1,1.4,1.36,1.42,1.35,0.88,1.0,0.71,0.63,0.55,0.59,0.63,0.51,0.5,0.52,0.38,0.46
h_1,1.79,2.22,1.87,1.89,1.76,1.36,1.0,0.89,0.79,0.78,0.79,0.73,0.65,0.66,0.56,0.72
g_1,1.94,2.13,2.65,2.32,2.21,1.63,1.12,1.0,0.95,0.88,0.96,1.1,0.76,0.67,0.81,0.78
c_0,2.52,2.52,1.89,2.46,1.97,1.74,1.24,1.11,1.0,1.13,1.2,0.97,0.97,0.83,0.78,0.72
d_0,1.81,2.2,2.16,3.2,2.53,1.75,1.29,1.15,0.84,1.0,0.91,0.97,0.7,0.74,0.77,0.82
b_0,2.46,2.52,2.22,2.96,1.97,1.56,1.16,1.05,0.87,1.08,1.0,0.99,1.19,0.94,0.81,0.8
f_0,2.39,2.88,2.64,2.44,2.42,1.91,1.32,0.91,1.05,1.03,0.97,1.0,0.78,0.93,1.1,0.66
a_0,2.58,2.67,2.72,3.75,2.8,2.01,1.56,1.36,1.06,1.34,0.87,1.25,1.0,1.05,0.94,1.08
h_0,2.89,3.24,3.05,2.86,2.84,1.86,1.53,1.52,1.2,1.28,1.14,1.06,0.95,1.0,0.89,1.01
e_0,3.0,3.52,3.24,2.92,2.88,2.51,1.88,1.28,1.36,1.27,1.37,0.96,1.06,1.11,1.0,0.93
g_0,3.0,3.3,3.6,2.91,3.02,2.08,1.38,1.28,1.37,1.22,1.25,1.47,0.94,0.96,1.12,1.01
