,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.13,0.68,0.38,0.77,0.48,0.59,0.88,0.86,2.19,0.79,1.14,1.05,1.11,0.89,0.56,1.01
f_1,1.39,16.13,0.47,0.45,0.5,0.46,0.82,0.74,0.97,1.01,0.87,0.31,0.84,0.98,0.54,0.78
d_1,0.47,0.68,18.95,0.42,0.61,0.55,0.82,0.89,0.39,2.07,1.16,0.87,1.1,0.96,1.18,0.93
c_1,0.39,0.5,0.7,16.4,1.37,0.5,0.94,0.83,0.79,0.29,0.59,0.92,0.8,0.93,0.87,0.92
b_1,0.49,0.49,0.66,0.5,19.24,1.48,0.8,0.85,0.75,0.9,0.41,0.99,0.8,0.68,0.76,0.85
a_1,0.55,0.57,0.59,0.76,0.45,27.27,1.02,0.88,0.8,0.67,0.78,1.05,1.04,0.37,0.92,0.87
h_1,0.61,1.08,0.78,0.74,0.78,0.58,5.28,1.61,0.98,1.07,1.31,1.03,0.63,1.13,1.26,1.41
g_1,0.49,0.61,1.53,0.68,0.64,0.66,0.85,5.93,0.79,1.35,0.98,2.74,1.22,1.14,1.8,0.97
d_0,0.74,0.7,0.36,2.36,0.55,0.62,1.19,1.07,2.54,0.76,1.49,1.18,1.28,1.2,1.37,1.31
c_0,0.82,0.8,0.88,0.51,0.46,0.61,1.35,1.15,1.26,3.28,2.91,1.32,1.51,1.46,1.65,1.65
b_0,0.72,0.81,0.99,0.87,0.2,0.41,1.41,1.29,1.18,1.29,3.76,1.56,1.54,3.43,1.35,1.89
f_0,0.65,0.42,1.03,0.82,0.71,0.53,1.11,1.26,1.05,1.05,1.41,3.62,1.43,1.3,4.26,1.56
h_0,0.67,1.39,0.65,0.67,0.62,0.73,0.79,1.86,0.91,1.19,1.26,1.25,0.79,1.6,1.3,1.84
a_0,0.8,0.75,0.79,0.89,0.8,0.44,1.37,1.3,1.16,1.0,1.19,1.37,1.25,4.58,1.22,1.34
e_0,0.36,0.82,0.81,1.05,0.63,0.79,1.51,1.01,1.28,1.35,2.02,1.39,1.16,1.27,4.96,1.5
g_0,0.66,0.6,1.44,0.74,0.54,0.83,1.11,0.85,0.91,1.21,1.38,2.22,1.56,1.22,1.42,0.41
