,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,115.21,63.36,70.27,96.65,135.53,362.23,10474.72,31365.18,20772.65,23340.09,31353.58,47052.63,101270.81,201250.97,116607.74,204595.68
d_1,62.64,122.54,78.35,66.21,117.64,374.05,9615.0,16575.54,31576.63,18456.38,37576.9,43039.73,108218.29,152676.59,173154.97,214315.73
f_1,98.78,62.15,124.79,84.36,109.37,385.09,8011.0,18186.87,18240.22,18920.48,26657.99,29143.9,99743.7,151428.87,111279.88,160632.73
c_1,60.12,65.97,70.78,129.14,213.53,354.69,9836.09,13622.29,15530.29,18978.35,21843.23,40357.15,93026.82,146269.58,127912.99,150832.71
b_1,54.87,62.36,66.66,49.99,195.36,600.47,8253.32,14934.04,16164.42,16924.45,19091.31,33320.63,86694.84,140085.05,111057.55,131208.17
a_1,41.24,42.7,46.37,46.69,50.2,499.43,6288.0,11861.25,11574.05,12713.08,19608.62,28139.11,58627.83,100816.65,82807.4,91839.24
h_1,16.27,19.1,24.11,18.78,30.26,93.93,3543.31,4471.91,4698.04,6351.66,7412.65,10124.23,21259.05,49904.34,33328.0,49597.42
d_0,11.69,10.59,16.84,26.71,31.16,79.35,2263.87,5114.34,3034.71,4417.32,6408.62,8168.9,19775.84,31103.25,26360.85,42517.32
c_0,14.12,14.93,16.66,15.32,23.49,81.93,2013.73,4515.62,5492.3,3910.25,9750.18,9482.33,21612.04,36532.09,31291.68,47994.23
g_1,9.78,19.17,13.12,15.68,26.77,71.07,1812.38,3389.55,4297.52,6271.48,6512.33,11226.04,17771.42,28999.37,32496.67,35731.77
b_0,11.69,13.13,16.09,15.5,20.22,58.2,1969.56,3265.88,3351.0,3496.4,7558.6,7523.18,20104.53,34527.92,23614.91,57408.82
f_0,9.47,13.56,10.42,13.14,21.72,65.2,1725.34,3379.81,3551.92,3137.4,5700.36,9273.74,17866.89,28766.93,37450.55,32525.82
h_0,8.99,9.6,12.02,10.53,14.86,47.81,1146.99,2662.89,2472.07,3303.61,3808.33,5601.91,11151.48,26571.68,15856.57,22616.75
g_0,6.41,11.27,7.72,9.02,13.58,41.45,1026.95,1935.75,2304.08,2328.16,2943.62,6205.23,9978.51,15608.36,15238.13,19996.44
e_0,5.15,8.39,9.4,8.88,15.59,45.22,1230.05,1974.71,2416.3,2105.45,3818.53,4472.25,13187.52,20325.11,24290.05,23096.04
a_0,5.97,7.24,7.76,9.44,13.44,38.49,991.06,1941.78,2023.69,2261.95,2805.68,4287.32,11737.19,17169.24,14129.4,28121.58
