,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,23.04,0.33,0.31,0.44,0.3,0.37,0.8,0.69,1.47,0.92,0.89,0.64,0.9,0.9,0.22,0.59
f_1,0.66,25.1,0.28,0.35,0.32,0.34,0.64,0.53,0.74,0.66,0.8,0.15,0.71,0.8,0.53,0.85
d_1,0.27,0.36,27.88,0.27,0.31,0.29,0.83,0.73,0.25,1.66,0.93,0.85,0.72,0.84,0.98,1.19
c_1,0.31,0.27,0.38,28.28,0.78,0.27,0.75,0.77,0.78,0.15,0.49,0.64,0.81,0.64,0.84,0.81
b_1,0.36,0.39,0.34,0.3,31.65,0.71,0.67,0.92,0.71,0.41,0.16,0.75,0.59,1.0,0.68,0.95
a_1,0.29,0.32,0.31,0.32,0.39,49.99,0.71,0.81,0.67,0.89,0.89,0.91,0.29,1.14,0.85,0.79
h_1,0.48,1.13,0.71,0.55,0.53,0.51,9.89,1.81,1.3,1.29,1.34,1.52,1.24,0.44,1.77,2.01
g_1,0.61,0.39,1.18,0.73,0.51,0.47,1.54,11.34,1.29,1.15,1.33,2.81,1.44,1.6,1.4,0.55
d_0,0.68,0.64,0.27,1.43,0.63,0.64,1.23,1.21,5.15,1.34,1.52,1.73,1.56,1.74,1.58,1.52
c_0,0.61,0.74,0.76,0.27,0.53,0.7,1.26,1.33,1.56,5.82,3.99,2.34,1.74,2.1,1.84,1.7
b_0,0.72,0.72,0.65,0.66,0.25,0.5,1.41,1.4,1.76,1.67,6.91,2.16,4.22,1.96,1.74,1.38
f_0,0.49,0.16,0.8,0.76,0.5,1.12,1.13,1.09,2.29,2.04,1.43,7.83,1.81,2.0,4.24,1.68
a_0,0.63,0.79,0.64,0.55,0.8,,1.34,1.15,1.3,2.02,1.85,2.22,6.9,1.97,1.98,1.87
h_0,0.56,1.05,0.71,0.73,0.46,0.65,0.36,1.11,1.08,1.3,1.44,1.35,1.42,0.39,1.77,2.12
e_0,0.28,0.72,0.69,0.86,0.58,0.95,1.72,1.44,1.56,1.54,1.62,1.98,1.29,1.62,9.14,1.48
g_0,0.46,0.79,1.41,0.67,0.43,0.34,1.17,0.48,1.25,1.63,1.54,2.77,1.37,1.84,1.71,0.63
