,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.05,1.58,1.13,1.79,1.94,1.38,0.66,0.69,0.62,0.5,0.6,0.51,0.46,0.64,0.48,0.42
d_1,1.99,1.05,1.86,1.62,1.53,1.42,0.6,0.46,0.64,0.54,0.45,0.49,0.37,0.41,0.42,0.27
f_1,2.08,1.68,1.05,1.8,1.52,1.25,0.55,0.72,0.6,0.5,0.6,0.47,0.29,0.41,0.43,0.41
c_1,1.66,2.43,1.89,1.05,2.23,1.55,0.71,0.71,0.37,0.63,0.52,0.5,0.45,0.45,0.44,0.36
b_1,1.93,2.26,2.55,1.34,1.06,2.39,0.79,0.76,0.6,0.81,0.61,0.87,0.5,0.58,0.48,0.48
a_1,3.08,2.67,3.32,2.55,1.41,1.06,1.1,1.03,0.84,0.86,0.78,1.02,0.6,0.65,1.08,0.63
h_1,4.89,4.95,5.43,5.15,4.59,3.97,1.27,1.96,1.49,1.38,1.52,1.39,1.32,1.38,1.2,1.04
g_1,4.86,5.33,5.3,5.02,4.83,4.28,1.66,1.3,1.57,1.53,1.61,1.51,0.95,1.29,1.24,1.15
d_0,3.93,7.65,5.43,6.53,5.45,5.01,2.42,2.32,1.41,1.83,1.55,1.48,1.29,1.48,1.39,1.24
c_0,6.26,4.12,6.21,8.34,5.21,4.69,2.42,2.18,2.51,1.39,1.81,1.99,1.39,1.65,1.75,1.21
f_0,5.38,6.38,9.23,6.57,6.01,5.94,2.38,1.73,2.01,1.92,1.42,1.97,1.58,2.27,1.45,1.03
b_0,6.87,5.41,6.52,8.02,6.76,4.71,2.66,2.38,2.43,1.27,2.11,1.41,1.42,1.68,1.74,1.48
h_0,7.48,7.75,10.26,7.67,7.36,6.11,3.28,3.23,2.42,2.16,2.11,2.32,2.21,1.92,1.77,1.58
e_0,8.34,8.56,12.75,9.26,7.97,6.72,3.11,2.89,2.56,2.5,1.5,2.44,1.79,1.51,2.04,1.5
a_0,8.53,8.18,9.03,11.15,11.72,8.2,3.59,3.59,3.29,2.09,2.85,1.59,2.13,2.21,1.52,1.82
g_0,9.33,10.31,10.03,11.35,8.67,7.97,2.97,4.1,3.12,3.21,2.86,2.85,1.93,2.45,2.16,2.38
