,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,15.1,0.53,0.49,0.79,0.53,0.53,0.81,0.92,0.76,2.21,1.07,1.08,1.02,0.94,0.54,0.76
f_1,1.05,15.23,0.56,0.58,0.55,0.51,0.8,0.69,0.73,0.78,0.88,0.35,0.87,0.81,0.58,0.8
d_1,0.52,0.64,17.45,0.38,0.59,0.57,0.98,0.95,2.15,0.35,1.11,0.99,0.95,1.02,1.03,1.06
c_1,0.54,0.5,0.56,19.33,1.25,0.56,0.79,0.72,0.24,0.89,0.85,0.87,0.85,0.75,0.89,1.01
b_1,0.54,0.54,0.61,0.48,20.12,1.43,0.85,0.8,0.79,0.75,0.28,0.88,0.54,1.01,0.94,0.89
a_1,0.55,0.59,0.52,0.64,0.52,29.46,1.0,0.94,1.1,0.87,0.88,1.04,0.52,1.12,0.89,1.01
h_1,0.56,1.3,0.74,0.74,0.49,0.72,4.62,1.82,1.2,0.9,1.1,1.29,1.29,0.65,1.22,1.45
g_1,0.69,0.58,1.27,0.78,0.52,0.62,1.0,5.34,1.19,1.3,1.11,2.1,0.94,1.26,1.48,0.82
c_0,0.67,0.9,0.93,0.47,0.6,0.54,1.23,1.29,3.23,1.09,2.9,1.7,1.39,1.44,1.5,1.44
d_0,0.76,0.62,0.35,2.59,0.7,0.52,1.05,1.21,0.71,3.12,1.1,1.28,1.08,1.35,1.32,1.28
b_0,0.7,0.83,0.88,0.79,0.35,0.45,1.54,1.35,1.08,1.08,3.36,1.23,4.21,1.71,1.47,1.59
f_0,0.54,0.55,0.84,0.74,0.69,0.71,1.41,1.19,1.37,1.33,1.74,3.38,1.51,1.62,4.21,1.69
a_0,0.68,0.85,0.87,0.72,0.72,0.43,1.31,1.2,1.46,0.92,1.2,1.45,3.95,1.68,1.53,1.05
h_0,0.59,1.32,0.92,0.74,0.68,0.51,0.73,1.49,1.15,1.12,1.08,1.08,1.31,0.69,1.49,1.57
e_0,0.33,1.28,0.74,0.73,0.79,0.96,1.4,1.02,1.24,0.99,1.27,0.99,1.23,1.76,5.45,1.71
g_0,0.5,0.65,1.58,0.7,0.78,0.48,1.2,0.82,1.39,0.8,1.34,2.36,1.74,1.36,1.16,0.8
