,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.69,1.37,2.06,1.07,1.27,1.2,4.54,5.25,6.27,4.76,7.62,2.52,6.49,9.64,5.77,8.39
c_1,1.21,6.22,1.18,2.53,1.2,1.12,3.95,6.81,1.69,4.6,3.31,5.08,4.52,9.3,5.61,9.11
e_1,1.5,1.7,6.35,1.27,0.93,1.07,6.01,11.36,5.88,4.06,6.7,5.91,6.12,9.22,1.82,9.84
b_1,1.36,1.3,1.22,6.74,1.3,2.29,4.63,4.96,5.25,4.95,2.97,6.4,4.82,7.72,8.14,8.26
d_1,1.3,0.77,1.35,1.24,6.99,1.49,4.44,3.08,11.89,4.93,8.1,8.97,7.94,10.0,7.32,9.78
a_1,1.43,1.29,1.19,1.24,1.71,10.18,5.25,4.79,5.39,4.36,7.01,7.16,3.52,7.85,7.18,9.56
h_1,2.04,1.9,1.45,1.4,1.65,1.32,17.5,7.03,6.55,7.79,7.54,7.15,7.79,6.27,6.47,13.85
d_0,1.63,3.11,1.49,1.61,0.79,1.32,5.46,14.89,5.18,4.96,5.84,7.57,7.14,12.82,9.43,10.68
c_0,1.82,0.97,1.62,1.2,1.92,1.52,6.21,7.42,16.52,6.05,16.15,9.61,10.73,13.31,9.52,11.96
g_1,1.37,1.54,1.39,1.22,2.94,1.23,4.43,6.1,7.83,21.02,7.02,11.02,8.09,12.2,7.85,6.6
b_0,1.7,1.72,1.51,0.82,1.84,1.27,5.21,9.16,8.08,5.44,18.76,7.77,17.31,13.24,8.57,13.63
f_0,1.21,1.96,1.36,1.49,1.7,1.94,6.57,9.14,8.77,5.63,9.01,20.41,8.06,12.08,17.71,11.56
a_0,2.05,1.67,1.75,1.48,1.44,0.77,6.28,8.28,7.06,5.42,8.07,8.94,25.02,15.23,9.21,10.42
h_0,2.45,1.69,1.34,1.52,1.53,1.58,2.73,9.26,7.32,7.88,8.98,6.74,8.48,6.98,9.86,12.38
e_0,1.99,1.37,0.85,1.65,1.93,1.41,6.75,6.86,7.66,6.19,7.62,9.22,8.67,11.32,26.26,15.31
g_0,1.34,1.57,1.35,1.47,2.78,1.63,6.64,7.57,7.09,2.91,7.02,13.33,7.68,12.93,11.69,6.88
