,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.09,2.26,2.21,2.35,2.05,1.95,0.51,0.68,0.52,0.46,0.61,0.45,0.25,0.44,0.4,0.36
e_1,1.55,1.09,2.54,2.65,2.24,2.2,0.7,0.71,0.55,0.5,0.64,0.59,0.34,0.53,0.68,0.38
d_1,2.59,3.0,1.08,2.37,2.3,1.97,0.65,0.45,0.84,0.45,0.43,0.41,0.31,0.4,0.44,0.23
c_1,2.68,2.12,3.43,1.1,2.9,2.92,0.76,0.72,0.34,0.72,0.56,0.53,0.41,0.54,0.52,0.37
b_1,3.68,2.85,3.66,1.89,1.11,3.39,0.93,0.98,0.61,0.95,0.63,1.04,0.53,0.61,0.68,0.42
a_1,5.6,4.86,5.48,4.63,2.27,1.12,1.24,1.4,0.95,1.15,1.02,1.38,0.76,1.32,0.88,0.68
h_1,9.92,9.91,9.62,9.42,8.11,7.72,1.51,2.61,2.13,1.92,1.77,1.99,1.69,1.57,1.58,1.42
g_1,11.04,11.12,10.49,11.44,9.63,8.5,2.51,1.59,2.46,2.35,2.26,2.27,1.14,2.16,1.91,1.71
d_0,10.75,7.45,15.93,13.25,12.11,13.29,3.67,3.67,1.81,2.61,2.55,2.54,1.8,2.4,2.18,2.14
c_0,14.32,13.8,7.67,19.25,14.08,12.16,4.44,3.41,4.45,1.77,2.42,2.72,1.92,2.37,2.51,1.57
f_0,17.18,12.48,12.79,12.25,13.72,12.75,4.59,2.82,2.96,2.84,1.85,2.77,2.0,3.13,2.47,1.34
b_0,14.78,14.75,10.98,19.14,20.27,11.93,4.94,3.86,3.36,1.7,3.33,1.88,2.03,3.37,2.66,1.91
h_0,18.37,18.66,19.39,20.81,17.72,15.38,7.41,5.69,4.48,3.71,4.04,3.74,3.36,3.62,3.19,2.55
a_0,19.42,19.25,17.66,22.79,23.07,28.2,6.38,4.74,4.31,3.54,4.64,2.49,2.34,2.08,3.68,2.62
e_0,26.5,23.15,18.68,19.25,17.84,18.61,6.64,4.8,5.14,3.6,2.17,3.93,3.05,3.8,2.19,2.29
g_0,27.48,25.4,23.63,28.18,25.25,24.81,6.06,7.98,5.91,4.8,4.72,4.76,3.03,4.44,5.01,4.0
