,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.43,2.14,2.49,2.46,1.88,0.83,1.0,0.89,0.69,0.69,0.71,0.54,0.67,1.08,0.5
f_1,2.45,1.06,1.69,2.32,2.47,1.88,0.62,0.76,0.87,0.63,0.6,0.98,0.38,0.55,0.47,0.58
d_1,2.92,2.7,1.06,2.72,2.0,1.79,0.93,1.09,0.58,0.72,0.64,0.74,0.55,0.55,0.58,0.36
c_1,2.05,2.73,3.01,1.06,2.74,1.91,0.94,0.47,1.19,0.94,0.75,0.73,0.55,0.65,0.62,0.52
b_1,2.64,2.87,3.49,1.48,1.06,3.64,1.09,0.75,0.93,1.12,1.55,0.67,0.55,0.79,0.58,0.58
a_1,4.0,3.81,3.72,3.93,1.74,1.07,1.6,1.11,1.21,0.99,1.1,0.88,0.91,1.33,1.13,0.86
h_1,6.3,6.95,5.71,6.17,5.56,4.58,1.34,2.15,2.29,1.61,1.73,1.62,2.08,1.42,1.51,1.56
d_0,4.01,7.03,8.42,7.98,7.2,5.7,2.41,1.49,2.82,1.57,1.76,1.82,1.73,1.59,1.57,1.7
g_1,6.87,7.9,8.54,6.99,6.72,5.67,2.2,2.4,1.33,2.25,2.02,2.16,1.41,2.15,1.72,1.8
c_0,7.94,7.63,4.67,14.56,6.9,7.32,3.33,3.3,2.67,1.54,2.44,2.29,1.83,2.12,1.81,1.82
b_0,7.52,8.34,7.17,9.79,11.08,6.52,3.02,2.64,3.11,1.45,1.52,2.17,2.32,2.04,2.16,1.91
f_0,8.3,10.77,9.32,8.27,7.4,6.52,3.53,2.91,2.09,2.26,2.29,1.53,2.3,2.13,2.31,1.44
h_0,9.96,12.11,9.91,9.56,9.3,6.88,4.79,2.77,3.85,2.97,2.5,2.53,2.95,2.13,1.98,2.36
a_0,8.16,11.48,11.56,10.98,11.09,13.63,4.88,3.18,3.4,2.57,1.97,2.87,2.73,1.62,2.53,1.99
e_0,12.3,14.18,9.85,11.52,10.84,8.91,4.42,3.48,3.6,3.23,2.69,1.76,2.57,2.99,1.68,2.34
g_0,11.64,11.77,12.12,12.5,10.3,9.58,2.98,3.2,5.46,2.84,2.84,3.49,2.03,2.83,2.46,3.22
