,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.93,0.44,0.37,0.31,0.32,0.23,0.42,0.64,0.33,0.27,0.42,0.32,0.39,0.27,0.33,0.25
f_1,0.38,0.92,0.67,0.33,0.27,0.21,0.36,0.32,0.3,0.4,0.31,0.21,0.38,0.23,0.28,0.17
e_1,0.39,0.45,0.92,0.43,0.33,0.24,0.37,0.34,0.28,0.61,0.34,0.31,0.4,0.24,0.31,0.2
c_1,0.45,0.38,0.38,0.91,0.57,0.22,0.29,0.26,0.27,0.34,0.22,0.27,0.36,0.2,0.28,0.24
b_1,0.46,0.37,0.37,0.31,0.91,0.48,0.36,0.36,0.28,0.34,0.29,0.35,0.36,0.2,0.34,0.22
a_1,0.46,0.47,0.39,0.39,0.31,0.89,0.38,0.36,0.32,0.37,0.35,0.29,0.37,0.18,0.35,0.21
h_1,0.5,0.56,0.43,0.41,0.26,0.23,0.64,0.39,0.45,0.36,0.32,0.34,0.33,0.25,0.39,0.24
c_0,0.5,0.49,0.45,0.3,0.28,0.27,0.44,0.57,0.37,0.39,0.65,0.3,0.42,0.38,0.38,0.29
g_1,0.65,0.42,0.37,0.39,0.31,0.22,0.37,0.4,0.63,0.29,0.37,0.46,0.38,0.26,0.29,0.33
d_0,0.36,0.45,0.43,0.61,0.41,0.24,0.36,0.32,0.29,0.54,0.34,0.29,0.36,0.22,0.3,0.23
b_0,0.48,0.48,0.45,0.44,0.26,0.22,0.43,0.4,0.35,0.36,0.57,0.34,0.42,0.49,0.37,0.31
f_0,0.54,0.39,0.37,0.41,0.39,0.27,0.43,0.43,0.38,0.36,0.35,0.54,0.4,0.29,0.38,0.48
h_0,0.51,0.58,0.45,0.36,0.35,0.22,0.35,0.37,0.36,0.37,0.32,0.32,0.33,0.27,0.45,0.23
a_0,0.5,0.53,0.44,0.39,0.3,0.19,0.46,0.44,0.35,0.38,0.33,0.33,0.46,0.5,0.39,0.27
g_0,0.7,0.42,0.38,0.39,0.31,0.21,0.4,0.44,0.32,0.33,0.35,0.48,0.39,0.26,0.33,0.29
e_0,0.51,0.53,0.34,0.41,0.33,0.3,0.42,0.41,0.36,0.39,0.37,0.3,0.44,0.24,0.34,0.43
