,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.76,0.56,1.16,0.61,0.57,0.33,0.94,0.84,0.8,0.8,1.0,0.33,0.76,0.74,0.52,0.87
d_1,0.73,2.99,0.5,0.48,0.6,0.58,0.94,0.37,0.98,1.79,0.98,0.99,1.08,1.23,1.15,0.95
e_1,0.63,0.57,2.91,0.74,0.54,0.66,0.86,1.72,0.82,0.85,1.02,1.06,0.97,0.85,0.54,0.87
c_1,0.6,0.61,0.53,3.17,1.05,0.62,0.69,0.94,0.88,0.33,0.78,0.93,0.94,0.96,0.73,0.96
b_1,0.51,0.76,0.57,0.53,3.5,1.17,0.9,0.78,0.76,0.79,0.29,0.86,1.05,0.61,0.87,1.05
a_1,0.7,0.66,0.59,0.57,0.67,4.68,0.84,0.88,0.89,0.92,0.77,0.98,1.01,0.41,1.25,0.89
h_1,0.99,0.69,0.73,0.91,0.57,0.69,3.13,0.93,1.5,1.09,1.25,1.13,0.75,1.05,1.19,1.58
d_0,0.72,0.44,0.64,1.57,0.7,0.69,1.17,2.21,0.94,0.82,1.53,1.35,1.01,1.23,1.23,1.08
g_1,0.7,1.11,0.56,0.76,0.67,0.56,1.17,1.06,3.74,1.01,1.25,1.91,1.29,1.34,1.27,0.75
c_0,0.86,0.72,0.85,0.47,0.55,0.76,1.18,1.24,1.12,2.48,2.63,1.47,1.26,1.28,1.44,1.31
b_0,0.81,0.77,0.74,0.9,0.36,0.62,1.26,1.2,1.22,1.08,2.59,1.16,1.43,2.67,1.68,1.28
f_0,0.52,0.84,0.59,0.9,0.83,0.82,1.07,1.26,1.14,1.35,1.21,2.91,1.17,1.2,2.86,1.27
h_0,1.2,0.81,0.65,0.77,0.68,0.6,0.83,1.1,1.63,1.01,1.1,1.22,0.65,1.07,1.21,1.57
a_0,0.7,0.83,0.68,0.81,0.73,0.37,1.45,1.29,1.03,1.41,1.22,1.45,1.65,3.64,1.25,1.6
e_0,0.96,0.79,0.4,0.89,0.56,0.77,1.31,1.03,1.39,1.19,1.37,1.23,1.45,1.76,3.96,1.21
g_0,0.71,1.15,0.6,0.81,0.73,0.83,1.01,1.01,0.49,1.18,1.28,1.93,0.96,1.42,1.48,0.72
