,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.98,0.81,1.16,0.93,0.69,0.71,1.01,0.65,0.81,0.66,0.68,0.59,0.72,0.62,0.65
d_1,1.02,1.0,1.07,0.95,0.91,0.83,0.69,0.77,0.85,0.53,0.71,0.6,0.6,0.43,0.65,0.58
f_1,1.24,0.94,1.0,1.06,0.8,0.88,0.59,0.58,0.61,0.68,0.57,0.56,0.55,0.62,0.52,0.57
c_1,0.86,1.04,0.95,1.0,1.48,0.78,0.74,0.45,0.58,0.63,0.54,0.65,0.59,0.53,0.55,0.48
b_1,1.06,1.1,1.26,0.66,1.0,1.59,0.73,0.67,0.69,0.72,0.62,0.59,0.68,0.62,0.54,0.5
a_1,1.43,1.19,1.15,1.28,0.63,1.0,0.93,0.83,0.76,0.96,0.91,0.83,0.71,0.7,0.6,0.66
h_1,1.42,1.51,1.71,1.37,1.33,1.07,1.0,0.86,0.89,1.05,0.84,0.81,0.83,0.85,0.74,0.81
d_0,1.02,1.3,1.62,2.27,1.52,1.15,1.19,1.0,0.77,1.07,1.02,0.85,0.87,0.84,0.84,0.84
c_0,1.53,1.18,1.63,1.64,1.4,1.26,1.09,1.27,1.0,0.96,1.31,1.01,0.92,0.91,0.95,0.89
g_1,1.28,1.9,1.45,1.58,1.44,1.08,0.95,0.96,1.06,1.0,1.11,1.21,0.72,0.8,0.93,0.78
b_0,1.53,1.46,1.8,1.86,1.6,1.14,1.2,0.96,0.76,0.93,1.0,0.95,1.01,0.97,0.79,1.15
f_0,1.45,1.66,1.55,1.66,1.63,1.21,1.19,1.16,1.03,0.81,1.03,1.0,0.99,0.84,1.19,0.86
h_0,1.7,1.61,1.79,1.67,1.38,1.35,1.17,1.16,1.04,1.45,1.0,1.05,1.0,1.1,0.77,0.76
g_0,1.4,2.3,1.72,1.94,1.58,1.42,1.17,1.16,1.09,1.21,1.0,1.24,0.89,1.0,0.94,0.88
e_0,1.6,1.58,2.0,1.87,1.75,1.55,1.36,1.2,1.2,1.0,1.26,0.86,1.25,1.09,1.0,0.93
a_0,1.64,1.69,1.82,2.01,1.89,1.56,1.31,1.18,1.15,1.31,0.89,1.16,1.33,1.09,1.09,1.0
