,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,1.14,0.96,0.72,0.7,1.06,1.38,1.05,0.87,0.89,1.05,1.04,0.93,,1.22
f_1,1.13,1.0,1.08,1.13,1.0,1.15,0.8,1.01,0.89,0.99,1.07,,0.89,0.94,0.91,1.03
c_1,0.88,0.93,1.0,1.23,1.36,1.02,1.02,0.73,1.15,,1.0,1.1,1.04,0.95,0.96,1.02
d_1,1.04,0.89,0.81,1.0,1.16,1.0,1.13,,0.94,1.42,0.81,0.82,1.16,1.0,1.03,0.77
b_1,1.4,1.0,0.73,0.86,1.0,1.64,0.96,0.89,0.87,0.91,,1.04,1.15,1.1,1.15,0.96
a_1,1.44,0.87,0.98,1.0,0.61,1.0,1.13,0.93,1.0,1.13,1.15,1.0,1.13,,0.8,1.09
h_1,0.94,1.26,0.98,0.88,1.04,0.88,1.0,0.89,1.29,0.95,0.83,1.07,,1.0,,1.25
d_0,0.73,0.99,1.37,,1.13,1.07,1.13,1.0,1.0,1.14,1.03,0.9,0.82,0.98,0.88,1.02
g_1,0.95,1.12,0.87,1.06,1.15,1.0,0.77,1.0,1.0,1.18,1.12,1.2,0.76,,1.0,
c_0,1.15,1.02,,0.7,1.1,0.88,1.05,0.88,0.85,1.0,1.59,1.13,1.06,,0.86,1.0
b_0,1.12,0.93,1.0,1.24,,0.87,1.2,0.97,0.89,0.63,1.0,0.96,1.21,,1.1,0.89
f_0,0.95,,0.91,1.22,0.96,1.0,0.94,1.11,0.83,0.88,1.04,1.0,0.95,,,0.87
h_0,0.96,1.13,0.96,0.86,0.87,0.88,,1.22,1.32,0.95,0.82,1.05,,1.0,0.92,1.04
a_0,1.07,1.06,1.05,1.0,0.91,,1.0,1.02,,,,,1.0,1.0,,0.96
e_0,,1.1,1.04,0.97,0.87,1.24,,1.13,1.0,1.16,0.91,,1.08,,1.0,1.1
g_0,0.82,0.97,0.98,1.31,1.04,0.92,0.8,0.98,,1.0,1.12,1.15,0.96,1.04,0.91,
