,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.73,0.15,0.1,0.09,0.08,0.07,0.2,0.42,0.39,0.22,0.34,,0.65,0.4,0.29,0.43
e_1,0.07,5.75,0.07,0.08,0.07,0.08,0.34,0.78,0.37,0.24,0.28,0.35,0.6,0.46,,0.54
d_1,0.09,0.06,6.4,0.08,0.08,0.1,0.23,,0.74,0.37,0.34,0.43,0.61,0.28,0.43,0.53
c_1,0.1,0.08,0.06,6.49,0.14,0.06,0.33,0.42,,0.32,0.28,0.44,0.55,0.39,0.44,0.56
b_1,0.07,0.05,0.09,0.06,6.82,0.2,0.31,0.49,0.4,0.33,,0.2,0.69,0.37,0.3,0.51
a_1,0.07,0.07,0.06,0.05,0.11,9.93,0.38,0.28,0.38,0.38,0.34,0.36,0.67,,0.37,0.89
h_1,0.4,0.29,0.31,0.22,0.35,0.16,15.31,1.38,1.42,1.59,1.52,0.96,,1.33,1.44,4.09
d_0,0.42,0.36,,0.78,0.38,0.27,2.0,11.66,1.3,1.87,2.12,1.83,3.5,1.32,1.85,2.71
c_0,0.44,0.39,0.41,,0.26,0.44,1.69,2.03,12.08,1.12,4.3,1.58,2.8,1.87,2.21,2.67
g_1,0.27,0.22,0.47,0.31,0.23,0.26,1.01,1.45,1.05,20.76,1.15,2.52,2.54,1.69,1.47,
b_0,0.5,0.54,0.38,0.43,,0.38,1.19,1.93,2.11,1.46,15.28,2.14,1.62,3.48,1.69,1.79
f_0,,0.36,0.4,0.42,0.43,0.29,1.35,1.39,1.73,0.96,2.78,16.98,3.69,1.9,4.29,3.59
h_0,0.68,0.79,0.65,0.62,0.58,0.48,,2.56,3.33,2.13,2.92,3.32,,2.05,2.42,5.83
a_0,0.4,0.25,0.26,0.35,0.32,,2.05,1.72,2.29,1.93,1.8,3.51,3.75,22.51,,2.6
e_0,0.37,,0.43,0.42,0.39,,1.8,2.05,2.53,,1.56,,3.97,2.46,25.54,
g_0,0.35,0.51,0.94,0.51,0.54,0.43,2.47,2.6,3.56,,2.75,5.63,3.64,3.68,,
