,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.49,0.64,0.6,0.61,0.58,0.54,2.26,2.66,1.64,6.18,2.73,2.57,4.92,2.68,0.67,4.47
f_1,1.12,5.82,0.63,0.53,0.49,0.62,1.94,2.66,1.35,2.53,2.96,0.36,3.95,2.58,2.15,3.82
d_1,0.52,0.6,6.13,0.63,0.53,0.68,2.29,5.46,2.39,0.7,2.6,2.89,4.46,2.7,3.28,3.42
c_1,0.64,0.59,0.57,7.21,1.12,0.47,1.98,0.46,2.42,2.52,2.33,3.34,4.08,2.35,2.74,4.74
b_1,0.55,0.62,0.62,0.62,8.31,1.12,2.5,2.35,1.72,2.71,0.46,3.13,4.77,2.46,2.57,3.86
a_1,0.65,0.5,0.58,0.63,0.5,10.15,2.37,2.61,2.4,1.99,3.29,3.76,3.98,,3.46,4.2
h_1,0.82,1.52,0.97,1.05,0.87,0.84,15.08,4.47,5.61,4.81,5.73,5.79,3.27,4.46,6.17,8.64
c_0,1.09,1.09,1.13,0.31,0.9,0.98,5.21,13.37,4.88,5.11,11.6,6.18,8.83,7.56,6.75,8.92
g_1,0.7,0.93,1.51,0.89,1.51,1.2,3.65,4.57,19.17,4.23,5.58,6.95,5.88,4.05,4.37,2.07
d_0,0.95,1.29,0.38,2.23,0.96,0.83,3.08,4.53,4.07,13.37,5.72,5.24,8.74,4.84,4.86,9.8
b_0,0.93,1.2,1.3,1.01,0.66,0.63,3.88,6.0,4.26,5.04,15.1,6.56,6.13,12.68,6.28,8.05
f_0,0.81,0.37,1.14,1.23,1.15,1.34,4.24,5.75,4.78,6.38,5.0,16.67,7.78,5.92,11.28,8.09
h_0,1.07,1.49,1.08,1.11,1.13,0.66,1.7,3.9,5.05,4.07,5.59,5.02,1.99,4.19,4.75,8.44
a_0,1.12,1.21,1.23,1.24,1.09,,3.53,5.49,3.29,6.05,5.33,4.51,9.13,20.93,6.12,7.24
e_0,0.34,1.32,1.0,1.03,0.9,1.22,5.43,5.88,5.39,5.34,6.69,6.19,10.35,6.55,23.39,8.32
g_0,0.87,1.1,1.63,1.07,0.93,0.63,2.88,4.92,1.77,5.15,6.01,7.15,7.56,5.43,5.99,3.88
