,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,1.29,2.24,1.89,2.05,1.74,1.07,0.73,1.05,0.99,0.82,0.84,0.58,0.69,1.45,0.69
f_1,2.33,0.66,2.07,1.97,1.84,2.25,0.67,0.82,0.87,0.65,0.73,1.47,0.44,0.66,0.6,0.56
d_1,2.06,2.04,0.66,2.17,1.9,2.09,0.99,1.0,0.73,1.54,0.69,0.74,0.62,0.67,0.82,0.42
c_1,2.28,2.46,2.13,0.63,2.46,1.9,0.99,1.74,1.11,0.49,0.87,0.79,0.63,0.77,0.79,0.67
b_1,2.39,2.77,2.61,1.46,0.61,2.96,1.25,0.89,0.76,0.92,1.04,0.83,0.67,0.77,0.88,0.74
a_1,2.83,2.38,2.29,3.03,1.47,0.58,1.33,1.01,1.02,0.96,1.27,0.91,1.06,,0.9,1.01
h_1,2.45,3.25,2.56,2.87,2.32,2.13,0.6,0.81,1.34,1.12,1.02,0.99,1.22,0.92,0.79,1.0
c_0,2.95,3.34,1.69,5.55,2.92,2.83,1.42,0.66,1.45,1.05,1.15,1.02,1.08,1.14,0.99,0.87
g_1,3.05,3.89,2.85,2.61,3.76,2.5,0.92,0.94,0.56,0.99,0.94,0.99,0.67,1.11,0.82,1.13
d_0,1.65,3.49,4.75,3.72,2.98,3.29,1.27,1.16,1.46,0.68,1.18,0.87,1.01,0.92,1.04,0.88
b_0,2.85,2.94,3.19,3.28,9.42,2.02,1.31,0.67,1.27,1.03,0.65,1.06,0.78,1.35,0.97,0.78
f_0,3.03,7.69,3.14,3.0,2.76,2.46,1.28,1.08,1.08,1.13,0.95,0.63,0.93,1.37,1.18,0.74
h_0,3.03,3.84,3.31,3.4,3.18,2.74,2.14,1.04,1.85,1.1,1.43,1.15,1.93,1.02,0.92,0.98
a_0,3.46,3.74,3.81,4.17,3.73,,1.65,0.99,1.56,1.4,0.66,1.08,1.27,0.6,1.02,0.92
e_0,5.17,4.78,3.18,3.65,3.5,2.77,1.42,1.16,1.73,1.33,1.13,0.74,1.2,1.09,0.58,0.89
g_0,3.15,3.96,4.56,3.25,3.45,2.85,1.29,1.15,3.32,1.11,1.27,1.34,0.95,1.27,1.17,1.44
