,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.17,0.23,0.38,0.42,0.38,0.32,0.1,0.08,0.11,0.08,0.08,0.1,0.05,0.07,0.06,0.1
f_1,0.34,0.16,0.32,0.37,0.36,0.31,0.08,0.07,0.11,0.07,0.08,0.09,0.04,0.06,0.06,0.07
d_1,0.37,0.36,0.15,0.41,0.35,0.37,0.09,0.12,0.07,0.07,0.07,0.07,0.05,0.06,0.03,0.07
c_1,0.31,0.37,0.46,0.14,0.33,0.33,0.11,0.04,0.11,0.1,0.08,0.07,0.05,0.07,0.05,0.06
b_1,0.38,0.41,0.42,0.2,0.13,0.34,0.11,0.07,0.11,0.12,0.12,0.07,0.06,0.08,0.06,0.08
a_1,0.37,0.42,0.43,0.31,0.19,0.09,0.1,0.09,0.11,0.08,0.1,0.08,0.06,0.13,0.06,0.06
h_1,0.34,0.33,0.31,0.31,0.3,0.3,0.05,0.07,0.09,0.06,0.07,0.06,0.06,0.06,0.05,0.06
d_0,0.23,0.3,0.48,0.32,0.37,0.29,0.1,0.05,0.11,0.08,0.07,0.07,0.05,0.07,0.05,0.07
g_1,0.36,0.35,0.28,0.36,0.34,0.29,0.08,0.08,0.04,0.06,0.07,0.06,0.04,0.06,0.05,0.05
c_0,0.34,0.35,0.19,0.53,0.35,0.36,0.09,0.11,0.08,0.05,0.07,0.08,0.05,0.06,0.05,0.07
b_0,0.3,0.3,0.28,0.42,0.46,0.35,0.09,0.07,0.09,0.04,0.04,0.07,0.04,0.05,0.05,0.06
f_0,0.34,0.41,0.35,0.33,0.3,0.28,0.09,0.07,0.06,0.06,0.06,0.04,0.04,0.06,0.03,0.06
h_0,0.34,0.31,0.31,0.35,0.31,0.27,0.12,0.07,0.1,0.06,0.06,0.07,0.06,0.05,0.05,0.06
a_0,0.36,0.33,0.29,0.31,0.41,0.39,0.09,0.06,0.09,0.06,0.04,0.07,0.05,0.03,0.04,0.07
g_0,0.32,0.33,0.31,0.34,0.36,0.29,0.07,0.07,0.11,0.06,0.06,0.06,0.04,0.06,0.05,0.07
e_0,0.41,0.38,0.34,0.32,0.29,0.28,0.09,0.07,0.08,0.06,0.06,0.04,0.05,0.06,0.03,0.03
