,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.06,2.25,1.86,2.0,1.8,1.5,0.59,0.72,0.67,0.55,0.77,0.61,0.34,0.51,0.46,0.5
e_1,1.41,1.06,2.11,2.17,2.01,1.79,0.86,0.83,0.76,0.62,0.78,0.73,0.49,0.62,0.9,0.47
d_1,2.36,2.34,1.05,1.95,1.89,1.62,0.75,0.59,1.05,0.65,0.52,0.53,0.47,0.46,0.58,0.32
c_1,2.41,2.12,2.61,1.06,2.53,2.08,0.83,0.84,0.42,0.72,0.62,0.55,0.51,0.61,0.58,0.45
b_1,2.95,2.29,2.95,1.62,1.07,2.67,1.11,1.03,0.77,0.87,0.7,1.13,0.7,0.6,0.67,0.52
a_1,3.88,3.96,3.71,3.88,1.83,1.07,1.22,1.23,0.92,1.23,1.09,1.24,0.86,1.36,0.86,0.72
h_1,6.24,5.62,5.84,5.79,4.46,4.11,1.31,2.12,1.83,1.48,1.42,1.56,1.56,1.35,1.18,1.34
g_1,6.47,6.09,6.55,5.98,5.54,4.53,1.97,1.34,1.8,1.94,1.96,1.64,1.01,1.8,1.7,1.35
d_0,6.84,4.28,7.91,8.49,5.89,6.9,2.49,2.74,1.48,1.87,1.96,1.76,1.51,1.84,1.31,1.66
c_0,7.7,7.07,4.45,12.52,6.68,5.7,3.29,2.48,2.88,1.49,1.83,2.53,1.62,2.11,2.05,1.28
f_0,10.2,6.27,7.05,7.38,7.77,6.38,3.34,2.12,2.0,2.26,1.48,1.85,1.81,1.95,2.22,1.12
b_0,7.56,6.91,6.85,10.72,10.97,5.7,3.08,2.82,2.49,1.29,2.72,1.47,1.66,2.8,1.7,1.56
h_0,10.5,8.84,8.49,10.29,8.14,6.76,5.05,4.42,3.1,2.66,2.76,2.52,2.61,2.3,1.99,2.26
a_0,9.23,9.34,9.61,10.31,12.42,12.15,3.96,3.06,2.77,2.28,3.1,1.57,2.12,1.58,2.43,1.94
e_0,11.63,11.54,9.06,8.59,9.05,8.32,3.98,3.19,3.89,2.48,1.71,3.02,2.78,2.51,1.57,1.7
g_0,12.84,10.99,13.04,12.27,11.72,9.28,3.57,5.6,3.68,3.32,3.28,3.05,2.06,2.73,3.24,2.95
