,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.99,0.71,0.84,1.07,1.09,0.68,0.71,0.89,0.57,0.59,0.69,0.63,0.45,,0.61
d_1,1.01,1.0,1.03,1.05,1.01,0.77,0.91,0.53,,0.83,0.76,0.63,0.43,0.71,0.48,0.47
f_1,1.42,0.97,1.0,0.89,0.99,1.3,0.56,0.72,0.63,0.67,0.58,,0.47,0.76,0.48,0.59
c_1,1.19,0.95,1.12,1.0,1.35,0.85,0.76,0.59,0.52,,0.56,0.58,0.65,0.61,0.62,0.51
b_1,0.94,0.99,1.01,0.74,1.0,1.27,0.83,0.87,0.73,0.78,,0.63,0.63,,0.66,0.61
a_1,0.92,1.31,0.77,1.18,0.79,1.0,0.59,1.03,0.82,0.97,0.69,0.85,0.89,,,0.72
h_1,1.47,1.09,1.79,1.31,1.2,1.7,1.0,1.07,1.02,1.06,0.92,0.75,,0.71,0.68,0.87
g_1,1.42,1.89,1.4,1.71,1.15,0.97,0.93,1.0,0.84,0.95,0.74,1.25,0.78,0.82,0.92,
d_0,1.12,,1.6,1.92,1.36,1.22,0.98,1.19,1.0,1.03,0.92,0.87,1.02,0.95,0.72,0.96
c_0,1.76,1.21,1.48,,1.28,1.03,0.94,1.05,0.97,1.0,1.43,1.05,1.12,0.83,0.87,0.58
b_0,1.7,1.31,1.71,1.8,,1.45,1.09,1.36,1.09,0.7,1.0,0.89,0.82,1.26,0.86,0.72
f_0,1.45,1.58,,1.73,1.59,1.18,1.34,0.8,1.15,0.95,1.12,1.0,0.91,0.92,1.47,0.74
h_0,1.59,2.31,2.12,1.53,1.59,1.13,,1.28,0.98,0.89,1.22,1.1,,0.74,0.91,1.17
a_0,2.24,1.41,1.32,1.63,,,1.42,1.22,1.05,1.21,0.8,1.09,1.35,1.0,0.9,1.02
e_0,,2.07,2.08,1.61,1.53,,1.46,1.09,1.39,1.15,1.16,0.68,1.1,1.12,1.0,
g_0,1.64,2.13,1.7,1.97,1.64,1.38,1.15,,1.04,1.73,1.39,1.35,0.86,0.98,,
