,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,6.12,2.89,3.48,2.26,2.81,2.6,9.71,20.64,11.51,9.76,14.61,13.51,16.24,20.71,11.99,21.06
f_1,4.4,6.34,2.89,2.28,2.51,2.52,9.71,14.18,12.08,8.97,14.24,8.96,14.28,19.49,9.92,19.64
c_1,2.48,2.56,6.64,2.72,4.82,3.35,10.02,12.19,8.7,9.96,9.69,12.25,11.52,18.25,15.78,18.61
d_1,2.56,3.31,2.35,6.91,2.84,2.67,11.48,9.24,21.9,11.77,15.37,13.77,16.0,20.65,13.55,21.49
b_1,2.68,2.66,2.86,3.01,7.47,5.01,11.33,12.49,11.82,9.29,10.3,13.07,11.05,19.88,13.32,20.94
a_1,2.56,3.01,2.96,3.07,2.88,11.12,11.08,11.08,14.5,11.34,13.84,13.32,9.89,24.54,16.35,23.06
h_1,2.95,3.62,2.79,3.8,2.73,2.93,18.55,10.98,13.38,14.12,14.45,13.18,14.73,17.65,16.18,27.98
d_0,2.83,2.97,5.02,2.34,3.39,2.77,10.9,18.8,10.52,11.43,14.49,13.54,15.4,22.47,16.12,19.56
c_0,2.86,2.9,2.65,3.69,2.69,3.14,11.42,12.93,20.72,13.25,24.62,15.97,20.06,23.02,18.27,26.42
g_1,2.78,3.11,2.84,4.46,2.8,2.82,11.27,11.09,15.13,22.72,15.0,20.29,14.4,22.8,17.91,18.13
b_0,3.03,3.21,3.12,3.5,2.49,3.03,12.08,13.15,14.21,13.54,21.44,14.41,27.83,22.09,18.31,23.85
f_0,2.58,2.63,3.2,3.24,3.11,3.06,12.82,14.61,16.47,11.85,17.12,24.53,18.48,22.38,34.79,20.65
a_0,3.01,3.5,3.65,3.09,2.85,1.9,11.8,14.53,14.02,12.85,15.38,15.08,27.61,22.29,16.72,23.75
h_0,2.8,4.04,3.24,3.17,2.65,3.23,8.61,12.82,11.9,14.7,15.29,14.42,13.4,17.39,14.92,27.85
e_0,2.02,2.99,4.07,3.42,3.68,3.47,11.15,13.59,11.04,11.91,14.96,13.97,13.34,25.15,33.22,23.53
g_0,2.69,2.6,2.86,4.42,2.97,3.22,11.17,12.63,15.05,9.84,16.32,18.92,14.89,20.93,16.99,19.2
